translation
"{'en': 'Conner!', 'es': '¡Conner!'}"
"{'en': 'Goodbye.', 'es': 'Adiós.'}"
"{'en': 'Bye.\n', 'es': 'Adiós.'}"
"{'en': 'Goodbye.', 'es': 'Adiós.'}"
"{'en': 'Goodbye.\n', 'es': 'Adiós.'}"
"{'en': 'Hurry.', 'es': '¿Lista?'}"
"{'en': 'Fast.\n', 'es': '¿Lista?'}"
"{'en': 'All right...', 'es': 'Bien....'}"
"{'en': 'Fine...\n', 'es': 'Bien....'}"
"{'en': 'Here.', 'es': 'Toma.'}"
"{'en': 'Here.\n', 'es': 'Toma.'}"
"{'en': 'Yes.', 'es': '- ¡Bien!'}"
"{'en': 'Right.\n', 'es': '- ¡Bien!'}"
"{'en': ""It's a rope."", 'es': 'El carbón'}"
"{'en': 'Sting.\n', 'es': 'El carbón'}"
"{'en': 'Oh, my God!', 'es': 'Wow!'}"
"{'en': 'Wow!\n', 'es': 'Wow!'}"
"{'en': 'Wait.', 'es': 'Espera.'}"
"{'en': 'Wait.\n', 'es': 'Espera.'}"
"{'en': 'Oh, my God.', 'es': 'No.'}"
"{'en': 'No.\n', 'es': 'No.'}"
"{'en': 'Switzerland.', 'es': 'Suiza.'}"
"{'en': 'Switzerland.\n', 'es': 'Suiza.'}"
"{'en': 'You okay?', 'es': '¿De acuerdo?'}"
"{'en': 'Okay?\n', 'es': '¿De acuerdo?'}"
"{'en': 'Ready?', 'es': '¿Listo?'}"
"{'en': 'Ready?\n', 'es': '¿Listo?'}"
"{'en': 'Oh, my God.', 'es': 'Maldita sea.'}"
"{'en': 'Damn.\n', 'es': 'Maldita sea.'}"
"{'en': 'Now!', 'es': '¡Ahora mismo!'}"
"{'en': 'Now!\n', 'es': '¡Ahora mismo!'}"
"{'en': ""That's right!"", 'es': 'Aah!'}"
"{'en': 'Aah!\n', 'es': 'Aah!'}"
"{'en': 'Please!', 'es': 'Por favor.'}"
"{'en': 'Please!\n', 'es': 'Por favor.'}"
"{'en': 'Dinner.', 'es': 'La cena.'}"
"{'en': 'Dinner.\n', 'es': 'La cena.'}"
"{'en': 'Not...', 'es': '¡Ow!'}"
"{'en': 'Not...\n', 'es': '¡Ow!'}"
"{'en': 'Great.', 'es': 'Pendiente.'}"
"{'en': 'Outstanding.\n', 'es': 'Pendiente.'}"
"{'en': 'Good!', 'es': '¡Qué alegría!'}"
"{'en': 'Good!\n', 'es': '¡Qué alegría!'}"
"{'en': 'Oh, my God.', 'es': 'No.'}"
"{'en': 'No.\n', 'es': 'No.'}"
"{'en': 'Mallory?', 'es': '¿Mallory?'}"
"{'en': 'Mallory?\n', 'es': '¿Mallory?'}"
"{'en': 'Oh, my God.', 'es': 'No, no.'}"
"{'en': 'No.\n', 'es': 'No, no.'}"
"{'en': 'Oh, my God!', 'es': '¡No!'}"
"{'en': 'No!\n', 'es': '¡No!'}"
"{'en': 'Please.', 'es': 'Aplauda.'}"
"{'en': 'Applaud.\n', 'es': 'Aplauda.'}"
"{'en': 'What?', 'es': '¿Qué?'}"
"{'en': 'What?\n', 'es': '¿Qué?'}"
"{'en': ""It's Bobby!"", 'es': 'Bobby!'}"
"{'en': 'Bobby!\n', 'es': 'Bobby!'}"
"{'en': 'Excuse me!', 'es': 'Discúlpate.'}"
"{'en': 'Apologise!\n', 'es': 'Discúlpate.'}"
"{'en': 'Yes?', 'es': '- ¿Sí?'}"
"{'en': 'Yeah?\n', 'es': '- ¿Sí?'}"
"{'en': 'Son?', 'es': '¿Hijo?'}"
"{'en': 'Son?\n', 'es': '¿Hijo?'}"
"{'en': 'Oh, my God.', 'es': 'No.'}"
"{'en': 'No.\n', 'es': 'No.'}"
"{'en': 'Yes.', 'es': 'Cierto.'}"
"{'en': 'Right.\n', 'es': 'Cierto.'}"
"{'en': 'Thomas...', 'es': 'Thomas...'}"
"{'en': 'Thomas...\n', 'es': 'Thomas...'}"
"{'en': 'She?', 'es': '¿Ella?'}"
"{'en': 'She?\n', 'es': '¿Ella?'}"
"{'en': 'Nothing.', 'es': 'Nada.'}"
"{'en': 'Nothing.\n', 'es': 'Nada.'}"
"{'en': 'Perfect.', 'es': 'Excelente.'}"
"{'en': 'Excellent.\n', 'es': 'Excelente.'}"
"{'en': ""- It's bullshtak."", 'es': 'Shtak de toro.'}"
"{'en': 'Bullshtak.\n', 'es': 'Shtak de toro.'}"
"{'en': 'All right.', 'es': 'Bien'}"
"{'en': 'Okay.\n', 'es': 'Bien'}"
"{'en': 'Mathematics.', 'es': 'Math.'}"
"{'en': 'Math.\n', 'es': 'Math.'}"
"{'en': 'Prostrate yourself!', 'es': '- ¡Salud!'}"
"{'en': 'Prost!\n', 'es': '- ¡Salud!'}"
"{'en': ""That's terrible."", 'es': 'Terrible.""'}"
"{'en': 'Terrible.\n', 'es': 'Terrible.""'}"
"{'en': ""2. Mary's Visitation to Elizabeth"", 'es': '2. La Visitación de María a Isabel'}"
"{'en': '2. The Visitation of Mary to Elizabeth\n', 'es': '2. La Visitación de María a Isabel'}"
"{'en': 'Slowly.', 'es': 'Despacio.'}"
"{'en': 'Slowly.\n', 'es': 'Despacio.'}"
"{'en': 'All right!', 'es': '¡Muy bien!'}"
"{'en': 'Alright!\n', 'es': '¡Muy bien!'}"
"{'en': 'So what?', 'es': '¿Por qué?'}"
"{'en': 'And?\n', 'es': '¿Por qué?'}"
"{'en': 'No, not at all.', 'es': 'No.'}"
"{'en': 'Nope.\n', 'es': 'No.'}"
"{'en': 'Never.', 'es': 'Nunca.'}"
"{'en': 'Never.\n', 'es': 'Nunca.'}"
"{'en': 'Noelle!', 'es': 'Noelia!'}"
"{'en': 'Noelle!\n', 'es': 'Noelia!'}"
"{'en': 'Wait!', 'es': '¡Espera!'}"
"{'en': 'Wait!\n', 'es': '¡Espera!'}"
"{'en': ""What's the matter?"", 'es': 'Parecen fotos.'}"
"{'en': 'Fuck!\n', 'es': 'Parecen fotos.'}"
"{'en': ""That's right!"", 'es': 'Aah!'}"
"{'en': 'Aah!\n', 'es': 'Aah!'}"
"{'en': 'Hello.', 'es': 'Hola.'}"
"{'en': 'Hi.\n', 'es': 'Hola.'}"
"{'en': 'Oh, my God.', 'es': 'No.'}"
"{'en': 'No.\n', 'es': 'No.'}"
"{'en': 'I...', 'es': 'Ya...'}"
"{'en': 'I...\n', 'es': 'Ya...'}"
"{'en': 'Good.', 'es': 'Bien.'}"
"{'en': 'Good.\n', 'es': 'Bien.'}"
"{'en': 'Oh, my God!', 'es': '¡Oh!'}"
"{'en': 'Oh!\n', 'es': '¡Oh!'}"
"{'en': 'Everything.', 'es': 'Todo.'}"
"{'en': 'Everything.\n', 'es': 'Todo.'}"
"{'en': 'What?', 'es': '¿ Qué?'}"
"{'en': 'What?\n', 'es': '¿ Qué?'}"
"{'en': 'Goodbye.', 'es': 'Si.'}"
"{'en': 'Bye.\n', 'es': 'Si.'}"
"{'en': 'Well?', 'es': '- ¿Entonces?'}"
"{'en': 'So?\n', 'es': '- ¿Entonces?'}"
"{'en': 'Of course.', 'es': '- Claro. - ¿Cree que irá al Cielo?'}"
"{'en': 'Sure.\n', 'es': '- Claro. - ¿Cree que irá al Cielo?'}"
"{'en': 'What?', 'es': '¿Qué?'}"
"{'en': 'What?\n', 'es': '¿Qué?'}"
"{'en': 'VI.', 'es': '177.'}"
"{'en': 'VI.\n', 'es': '177.'}"
"{'en': 'Bounty.', 'es': 'Recompensa.'}"
"{'en': 'Bounty.\n', 'es': 'Recompensa.'}"
"{'en': ""It's Jerry."", 'es': 'Jerry.'}"
"{'en': 'Jerry.\n', 'es': 'Jerry.'}"
"{'en': 'Enoch.', 'es': 'Enoch.'}"
"{'en': 'Enoch.\n', 'es': 'Enoch.'}"
"{'en': 'Yes.', 'es': 'Bien.'}"
"{'en': 'Right.\n', 'es': 'Bien.'}"
"{'en': 'Is that Rita?', 'es': '¿Por qué me enganchaste con esa gorda pelada? - ¿Quién? ¿Rita?'}"
"{'en': 'Rita?\n', 'es': '¿Por qué me enganchaste con esa gorda pelada? - ¿Quién? ¿Rita?'}"
"{'en': ""It's Gibson."", 'es': 'Gibson.'}"
"{'en': 'Gibson.\n', 'es': 'Gibson.'}"
"{'en': ""It's Bennet."", 'es': 'Bennet.'}"
"{'en': 'Bennet.\n', 'es': 'Bennet.'}"
"{'en': 'All right.', 'es': '- Bueno.'}"
"{'en': 'Okay.\n', 'es': '- Bueno.'}"
"{'en': 'Exactly.', 'es': 'Exactamente.'}"
"{'en': 'Exactly.\n', 'es': 'Exactamente.'}"
"{'en': ""It's Jack!"", 'es': '¡Jack!'}"
"{'en': 'Jack!\n', 'es': '¡Jack!'}"
"{'en': 'Goodbye!', 'es': '¡Adiós!'}"
"{'en': 'Bye!\n', 'es': '¡Adiós!'}"
"{'en': 'Gracias.', 'es': 'Gracias.'}"
"{'en': 'Gracias.\n', 'es': 'Gracias.'}"
"{'en': 'Talk.', 'es': 'Hablemos.'}"
"{'en': 'Talk.\n', 'es': 'Hablemos.'}"
"{'en': 'Copy that.', 'es': 'Remitido.'}"
"{'en': 'Remitted.\n', 'es': 'Remitido.'}"
"{'en': 'Oh, my God.', 'es': 'No.'}"
"{'en': 'No.\n', 'es': 'No.'}"
"{'en': 'What?', 'es': '¿Qué?'}"
"{'en': 'What?\n', 'es': '¿Qué?'}"
"{'en': 'Calm down!', 'es': '¡Tranquila!'}"
"{'en': 'Easy!\n', 'es': '¡Tranquila!'}"
"{'en': 'Lovers?', 'es': 'Amante?'}"
"{'en': 'Lover?\n', 'es': 'Amante?'}"
"{'en': 'See?', 'es': '¿Lo ves?'}"
"{'en': 'See?\n', 'es': '¿Lo ves?'}"
"{'en': 'Cut!', 'es': '¡Corte!'}"
"{'en': 'Cut!\n', 'es': '¡Corte!'}"
"{'en': ""What's the matter?"", 'es': 'Mierda!'}"
"{'en': 'Fuck!\n', 'es': 'Mierda!'}"
"{'en': 'Who?', 'es': '¿Quién?'}"
"{'en': 'Who?\n', 'es': '¿Quién?'}"
"{'en': 'One!', 'es': '¡Uno!'}"
"{'en': 'One!\n', 'es': '¡Uno!'}"
"{'en': 'So...', 'es': 'Entonces...'}"
"{'en': 'So...\n', 'es': 'Entonces...'}"
"{'en': 'Oh, my God.', 'es': 'No.'}"
"{'en': 'No.\n', 'es': 'No.'}"
"{'en': ""It's Norman."", 'es': 'Norman.'}"
"{'en': 'Norman.\n', 'es': 'Norman.'}"
"{'en': 'Vagina, and...', 'es': 'Vagina, y...'}"
"{'en': 'Vagina, and--\n', 'es': 'Vagina, y...'}"
"{'en': 'Sergeant.', 'es': 'Sargento.'}"
"{'en': 'Sergeant.\n', 'es': 'Sargento.'}"
"{'en': 'Later.', 'es': 'En otra ocasión.'}"
"{'en': 'Later.\n', 'es': 'En otra ocasión.'}"
"{'en': 'This.', 'es': 'Toma.'}"
"{'en': 'That.\n', 'es': 'Toma.'}"
"{'en': 'Oh, my God.', 'es': 'No.'}"
"{'en': 'No.\n', 'es': 'No.'}"
"{'en': 'All right.', 'es': 'Hasta luego.'}"
"{'en': 'OK.\n', 'es': 'Hasta luego.'}"
"{'en': 'Oh, my God!', 'es': '¡No!'}"
"{'en': 'No!\n', 'es': '¡No!'}"
"{'en': 'Oh, my God!', 'es': '¡No!'}"
"{'en': 'No!\n', 'es': '¡No!'}"
"{'en': 'Hello!', 'es': 'Hey!'}"
"{'en': 'Hey!\n', 'es': 'Hey!'}"
"{'en': 'What?', 'es': '¿Qué?'}"
"{'en': 'What?\n', 'es': '¿Qué?'}"
"{'en': 'Great!', 'es': 'Ah, genial.'}"
"{'en': 'Great!\n', 'es': 'Ah, genial.'}"
"{'en': 'Look.', 'es': 'Mira.'}"
"{'en': 'Look.\n', 'es': 'Mira.'}"
"{'en': 'What?', 'es': '¿Qué?'}"
"{'en': 'What?\n', 'es': '¿Qué?'}"
"{'en': 'So what?', 'es': '¿Y?'}"
"{'en': 'And?\n', 'es': '¿Y?'}"
"{'en': '(b) the Greek private maritime code and', 'es': 'b) El Código marítimo griego privado'}"
"{'en': 'b) the Greek Private Maritime Code and\n', 'es': 'b) El Código marítimo griego privado'}"
"{'en': 'Cut.', 'es': 'Corte.'}"
"{'en': 'Cut.\n', 'es': 'Corte.'}"
"{'en': 'Yiasas!', 'es': '¡Hola!'}"
"{'en': 'Yiasas!\n', 'es': '¡Hola!'}"
"{'en': 'All right.', 'es': 'Está bien.'}"
"{'en': 'Ok.\n', 'es': 'Está bien.'}"
"{'en': 'Nemo.', 'es': 'Nemo.'}"
"{'en': 'Nemo.\n', 'es': 'Nemo.'}"
"{'en': ""It's Lucas!"", 'es': '! Lucas!'}"
"{'en': 'Lucas!\n', 'es': '! Lucas!'}"
"{'en': 'Jackpot.', 'es': 'Bote'}"
"{'en': 'Jackpot.\n', 'es': 'Bote'}"
"{'en': 'Out!', 'es': '¡Afuera!'}"
"{'en': 'Out!\n', 'es': '¡Afuera!'}"
"{'en': 'But...', 'es': 'Pero...'}"
"{'en': 'But...\n', 'es': 'Pero...'}"
"{'en': 'Please.', 'es': 'Por favor.'}"
"{'en': 'Please.\n', 'es': 'Por favor.'}"
"{'en': 'This.', 'es': 'Eso.'}"
"{'en': 'That.\n', 'es': 'Eso.'}"
"{'en': 'AMARILLO/NEGRO (1)', 'es': '44 (1)'}"
"{'en': 'AMARILLO/NEGRO (1)\n', 'es': '44 (1)'}"
"{'en': 'Look.', 'es': 'Mira.'}"
"{'en': 'Look.\n', 'es': 'Mira.'}"
"{'en': 'Is that crazy?', 'es': '¿Locos?'}"
"{'en': 'Crazy?\n', 'es': '¿Locos?'}"
"{'en': 'Oh, my God!', 'es': 'No!'}"
"{'en': 'No!\n', 'es': 'No!'}"
"{'en': 'Good.', 'es': 'Bien.'}"
"{'en': 'Good.\n', 'es': 'Bien.'}"
"{'en': 'Not.', 'es': 'No.'}"
"{'en': 'Not.\n', 'es': 'No.'}"
"{'en': 'Enough!', 'es': '¡Ya basta!'}"
"{'en': 'Enough!\n', 'es': '¡Ya basta!'}"
"{'en': 'Hello.', 'es': 'Hey.'}"
"{'en': 'Hey.\n', 'es': 'Hey.'}"
"{'en': 'Yes.', 'es': 'cierto.'}"
"{'en': 'Right.\n', 'es': 'cierto.'}"
"{'en': 'Hello.', 'es': 'Hola...'}"
"{'en': 'Hey.\n', 'es': 'Hola...'}"
"{'en': 'Deichhaus (2)', 'es': 'Eckwohnung (12)'}"
"{'en': 'Deichhaus (2)\n', 'es': 'Eckwohnung (12)'}"
"{'en': 'Swimsuit?', 'es': '¿Malla?'}"
"{'en': 'Swimsuit?\n', 'es': '¿Malla?'}"
"{'en': 'Here.', 'es': 'Toma.'}"
"{'en': 'Here.\n', 'es': 'Toma.'}"
"{'en': 'Where?', 'es': '¿Donde?'}"
"{'en': 'Where?\n', 'es': '¿Donde?'}"
"{'en': 'Claire...', 'es': 'Claire...'}"
"{'en': 'Claire...\n', 'es': 'Claire...'}"
"{'en': 'Croatoan!', 'es': '¡Croatoan!'}"
"{'en': 'Croatoan!\n', 'es': '¡Croatoan!'}"
"{'en': 'Why?', 'es': '¿Por qué?'}"
"{'en': 'Why ?\n', 'es': '¿Por qué?'}"
"{'en': 'Hello.', 'es': 'Ya no saben lo que quieren. Hola.'}"
"{'en': 'Hello.\n', 'es': 'Ya no saben lo que quieren. Hola.'}"
"{'en': '- Come on, Darryl, what is it?', 'es': '- Venga, Darryl, ¿qué'}"
"{'en': '- Come on, Darryl, what\n', 'es': '- Venga, Darryl, ¿qué'}"
"{'en': 'O beloved.""', 'es': 'Oh Amado.""'}"
"{'en': 'O Beloved.""\n', 'es': 'Oh Amado.""'}"
"{'en': 'Stop!', 'es': '¡Alto!'}"
"{'en': 'Halt!\n', 'es': '¡Alto!'}"
"{'en': 'See?', 'es': 'Lo veo.'}"
"{'en': 'See?\n', 'es': 'Lo veo.'}"
"{'en': 'What?', 'es': '¿Qué?'}"
"{'en': 'What?\n', 'es': '¿Qué?'}"
"{'en': 'Key #2', 'es': '2 2.'}"
"{'en': 'Key #2\n', 'es': '2 2.'}"
"{'en': 'Music!', 'es': '¡Música!'}"
"{'en': 'Music!\n', 'es': '¡Música!'}"
"{'en': 'Oh, my God.', 'es': 'No.'}"
"{'en': 'No.\n', 'es': 'No.'}"
"{'en': 'You!', 'es': '¡Tú!'}"
"{'en': 'You!\n', 'es': '¡Tú!'}"
"{'en': 'Yes, yes...', 'es': '- A sus órdenes.'}"
"{'en': 'Aye, aye-\n', 'es': '- A sus órdenes.'}"
"{'en': 'Oh, my God.', 'es': 'Carajo.'}"
"{'en': 'Fuck.\n', 'es': 'Carajo.'}"
"{'en': 'Hello!', 'es': '¡Hey!'}"
"{'en': 'Hey!\n', 'es': '¡Hey!'}"
"{'en': 'Him?', 'es': '¿Él?'}"
"{'en': 'Him?\n', 'es': '¿Él?'}"
"{'en': 'Hello.', 'es': '¡Hola!'}"
"{'en': 'Hi.\n', 'es': '¡Hola!'}"
"{'en': 'Great.', 'es': 'Estupendo.'}"
"{'en': 'Great.\n', 'es': 'Estupendo.'}"
"{'en': 'Sleep?', 'es': 'Durmiendo.'}"
"{'en': 'Sleeping?\n', 'es': 'Durmiendo.'}"
"{'en': 'Yes!', 'es': '¡Sí!'}"
"{'en': 'Yes!\n', 'es': '¡Sí!'}"
"{'en': 'Katherine.', 'es': 'Katherine.'}"
"{'en': 'Katherine.\n', 'es': 'Katherine.'}"
"{'en': 'Oh, my God!', 'es': '¡No!'}"
"{'en': 'No!\n', 'es': '¡No!'}"
"{'en': 'Nothing.', 'es': 'Nada.'}"
"{'en': 'Nothing.\n', 'es': 'Nada.'}"
"{'en': '(a) Which are considered to be such by the Governing Council;', 'es': 'a) Que sean reconocidos como tales por la Junta de Síndicos.'}"
"{'en': '(a) Who are so considered by the Board of Trustees;\n', 'es': 'a) Que sean reconocidos como tales por la Junta de Síndicos.'}"
"{'en': 'What do you mean?', 'es': '¿Cómo?'}"
"{'en': 'How?\n', 'es': '¿Cómo?'}"
"{'en': 'Dad!', 'es': '¡Papá!'}"
"{'en': 'Dad!\n', 'es': '¡Papá!'}"
"{'en': 'Grenada (Spain)', 'es': 'Granada, Granada, España'}"
"{'en': 'Granada, Spain\n', 'es': 'Granada, Granada, España'}"
"{'en': 'Who?', 'es': '- ¿Quién?'}"
"{'en': 'Who?\n', 'es': '- ¿Quién?'}"
"{'en': ""It's Simon."", 'es': 'Simón.'}"
"{'en': 'Simon.\n', 'es': 'Simón.'}"
"{'en': 'Oh, my God.', 'es': 'No.'}"
"{'en': 'No.\n', 'es': 'No.'}"
"{'en': 'All right.', 'es': 'Bien.'}"
"{'en': 'Okay.\n', 'es': 'Bien.'}"
"{'en': 'Whatever.', 'es': 'Lo que sea.'}"
"{'en': 'Whatever.\n', 'es': 'Lo que sea.'}"
"{'en': 'No one.', 'es': 'Nadie.'}"
"{'en': 'Nobody.\n', 'es': 'Nadie.'}"
"{'en': 'Oh, my God.', 'es': 'No.'}"
"{'en': 'No.\n', 'es': 'No.'}"
"{'en': ""It's Hotchner."", 'es': 'Hotchner.'}"
"{'en': 'Hotchner.\n', 'es': 'Hotchner.'}"
"{'en': 'Woe.', 'es': 'El mal.'}"
"{'en': 'Evil.\n', 'es': 'El mal.'}"
"{'en': 'Oh, my God!', 'es': '¡No!'}"
"{'en': 'No!\n', 'es': '¡No!'}"
"{'en': 'All right.', 'es': 'Esta bien.'}"
"{'en': 'Okay.\n', 'es': 'Esta bien.'}"
"{'en': 'Lois?', 'es': '- ¿Lois?'}"
"{'en': 'Lois?\n', 'es': '- ¿Lois?'}"
"{'en': 'Oh, my God.', 'es': 'No.'}"
"{'en': 'No.\n', 'es': 'No.'}"
"{'en': 'of 19 May 2005', 'es': 'de 19 de mayo de 2005'}"
"{'en': 'of 19 May 2005\n', 'es': 'de 19 de mayo de 2005'}"
"{'en': 'Oh, right.', 'es': 'OH.'}"
"{'en': 'Oh.\n', 'es': 'OH.'}"
"{'en': 'Hello.', 'es': 'Hola.'}"
"{'en': 'Hi.\n', 'es': 'Hola.'}"
"{'en': 'Arab (8)', 'es': 'Árabes (7)'}"
"{'en': 'Arabic (8)\n', 'es': 'Árabes (7)'}"
"{'en': 'That sucks.', 'es': 'Gorrón.'}"
"{'en': 'Bummer.\n', 'es': 'Gorrón.'}"
"{'en': 'What?', 'es': '¿Qué?'}"
"{'en': 'What?\n', 'es': '¿Qué?'}"
"{'en': ""That's right!"", 'es': 'Dios mío, Hal.'}"
"{'en': 'HaI!\n', 'es': 'Dios mío, Hal.'}"
"{'en': 'Always.', 'es': 'Siempre.'}"
"{'en': 'Always.\n', 'es': 'Siempre.'}"
"{'en': 'Oh, my God.', 'es': 'No.'}"
"{'en': 'No.\n', 'es': 'No.'}"
"{'en': ""I'm sorry."", 'es': 'Discúlpame, Roger.'}"
"{'en': 'Sorry.\n', 'es': 'Discúlpame, Roger.'}"
"{'en': 'Goodbye.', 'es': 'Bien, hasta pronto.'}"
"{'en': 'Goodbye.\n', 'es': 'Bien, hasta pronto.'}"
"{'en': 'Dieuzilla?', 'es': '¿Godzilla?'}"
"{'en': 'Godzilla?\n', 'es': '¿Godzilla?'}"
"{'en': ""It's Mike."", 'es': 'Mike.'}"
"{'en': 'Mike.\n', 'es': 'Mike.'}"
"{'en': 'Starting at US$ 1,000', 'es': 'A partir de US$1,000'}"
"{'en': 'From US$1,000\n', 'es': 'A partir de US$1,000'}"
"{'en': ""It's Randall."", 'es': 'Randall.'}"
"{'en': 'Randall.\n', 'es': 'Randall.'}"
"{'en': ""What's the matter?"", 'es': 'Mierda.'}"
"{'en': 'Shit!\n', 'es': 'Mierda.'}"
"{'en': 'Bohannon!', 'es': '¡Bohannon!'}"
"{'en': 'Bohannon!\n', 'es': '¡Bohannon!'}"
"{'en': 'Oh, right.', 'es': 'Oh.'}"
"{'en': 'Oh.\n', 'es': 'Oh.'}"
"{'en': 'Riggins.', 'es': 'Riggins.'}"
"{'en': 'Riggins.\n', 'es': 'Riggins.'}"
"{'en': 'Hello!', 'es': '¡Oye!'}"
"{'en': 'Hey!\n', 'es': '¡Oye!'}"
"{'en': 'Jaehoon?', 'es': '¿Jaehoon?'}"
"{'en': 'Jaehoon?\n', 'es': '¿Jaehoon?'}"
"{'en': 'Oh, my God.', 'es': 'No.'}"
"{'en': 'No.\n', 'es': 'No.'}"
"{'en': 'So do I.', 'es': 'Igualmente.'}"
"{'en': 'Likewise.\n', 'es': 'Igualmente.'}"
"{'en': 'Enough dead.""', 'es': 'Bastante muertos"".'}"
"{'en': 'Quite dead.""\n', 'es': 'Bastante muertos"".'}"
"{'en': 'Beautiful.', 'es': 'Estás guapísima.'}"
"{'en': 'Beautiful.\n', 'es': 'Estás guapísima.'}"
"{'en': ""T.K., what's that?"", 'es': '¡TK!'}"
"{'en': 'T.K.!\n', 'es': '¡TK!'}"
"{'en': ""It's Hyun!"", 'es': '¡Hyun!'}"
"{'en': 'Hyun!\n', 'es': '¡Hyun!'}"
"{'en': 'Yes.', 'es': '- Dijimos que era sin compromisos.'}"
"{'en': 'Right.\n', 'es': '- Dijimos que era sin compromisos.'}"
"{'en': ""It's Brian!"", 'es': 'Brian!'}"
"{'en': 'Brian!\n', 'es': 'Brian!'}"
"{'en': 'Better.', 'es': 'Mejor.'}"
"{'en': 'Better.\n', 'es': 'Mejor.'}"
"{'en': 'All right.', 'es': 'Está bien'}"
"{'en': 'Alright.\n', 'es': 'Está bien'}"
"{'en': 'Dinesh.', 'es': 'Dinesh.'}"
"{'en': 'Dinesh.\n', 'es': 'Dinesh.'}"
"{'en': 'Now...', 'es': 'Ahora...'}"
"{'en': 'Now...\n', 'es': 'Ahora...'}"
"{'en': 'Pervert!', 'es': '¡Pervertido!'}"
"{'en': 'Pervert!\n', 'es': '¡Pervertido!'}"
"{'en': 'Five?', 'es': '¿Cinco?'}"
"{'en': 'Five?\n', 'es': '¿Cinco?'}"
"{'en': 'Shoot.', 'es': 'Maldición.'}"
"{'en': 'Shoot.\n', 'es': 'Maldición.'}"
"{'en': 'Goodbye.', 'es': 'Adiós.'}"
"{'en': 'Bye.\n', 'es': 'Adiós.'}"
"{'en': 'Maybe...', 'es': 'Tal vez ...'}"
"{'en': 'Perhaps...\n', 'es': 'Tal vez ...'}"
"{'en': 'Stella?', 'es': 'Estrella?'}"
"{'en': 'Stella?\n', 'es': 'Estrella?'}"
"{'en': 'Is that Robin?', 'es': '¿Robin?'}"
"{'en': 'Robin?\n', 'es': '¿Robin?'}"
"{'en': 'Sir?', 'es': '¿Señor?'}"
