translation
"{'en': 'APPLICATION FOR APPROVAL', 'ro': 'CEREREA DE OMOLOGARE'}"
"{'en': '- Later.', 'ro': '- Lasa.'}"
"{'en': '- Later.\n', 'ro': '- Lasa.'}"
"{'en': '- Later.\n', 'ro': '- Lasa.'}"
"{'en': '- Right now?', 'ro': '- Acum?'}"
"{'en': '- Now?\n', 'ro': '- Acum?'}"
"{'en': '- Now?\n', 'ro': '- Acum?'}"
"{'en': '- Because.', 'ro': '- Aşa.'}"
"{'en': '- Because.\n', 'ro': '- Aşa.'}"
"{'en': '- Because.\n', 'ro': '- Aşa.'}"
"{'en': ""- That's nice."", 'ro': '- Multam.'}"
"{'en': '- Thanks.\n', 'ro': '- Multam.'}"
"{'en': '- Thanks.\n', 'ro': '- Multam.'}"
"{'en': '- Here, Dad.', 'ro': '-Uite,tata.'}"
"{'en': '-Here, Dad.\n', 'ro': '-Uite,tata.'}"
"{'en': '-Here, Dad.\n', 'ro': '-Uite,tata.'}"
"{'en': '- Yes?', 'ro': '- Da?'}"
"{'en': '- Yeah?\n', 'ro': '- Da?'}"
"{'en': '- Yeah?\n', 'ro': '- Da?'}"
"{'en': '- Easy.', 'ro': 'Încet.'}"
"{'en': '- Softly.\n', 'ro': 'Încet.'}"
"{'en': '- Softly.\n', 'ro': 'Încet.'}"
"{'en': '- Hello.', 'ro': '- De ce.'}"
"{'en': '- Hey.\n', 'ro': '- De ce.'}"
"{'en': '- Hey.\n', 'ro': '- De ce.'}"
"{'en': '- Bastard.', 'ro': 'Nenorocitule!'}"
"{'en': '- Bastard.\n', 'ro': 'Nenorocitule!'}"
"{'en': '- Bastard.\n', 'ro': 'Nenorocitule!'}"
"{'en': 'Yes.', 'ro': 'Da.'}"
"{'en': '(Whispering): Yeah.\n', 'ro': 'Da.'}"
"{'en': '(Whispering): Yeah.\n', 'ro': 'Da.'}"
"{'en': '- Ticktock.', 'ro': 'Tic-tac.'}"
"{'en': '- Ticktock.\n', 'ro': 'Tic-tac.'}"
"{'en': '- Ticktock.\n', 'ro': 'Tic-tac.'}"
"{'en': '- Felix.', 'ro': '- Felix.'}"
"{'en': '- Felix.\n', 'ro': '- Felix.'}"
"{'en': '- Felix.\n', 'ro': '- Felix.'}"
"{'en': ""- It's Kiko."", 'ro': '- Kiko.'}"
"{'en': '- Kiko.\n', 'ro': '- Kiko.'}"
"{'en': '- Kiko.\n', 'ro': '- Kiko.'}"
"{'en': '- But...', 'ro': '- Dar...'}"
"{'en': '- But...\n', 'ro': '- Dar...'}"
"{'en': '- But...\n', 'ro': '- Dar...'}"
"{'en': '- Seven.', 'ro': '- Sapte.'}"
"{'en': '- Seven.\n', 'ro': '- Sapte.'}"
"{'en': '- Seven.\n', 'ro': '- Sapte.'}"
"{'en': '- Hydrogen.', 'ro': '- Hidrogen.'}"
"{'en': '- Hydrogen.\n', 'ro': '- Hidrogen.'}"
"{'en': '- Hydrogen.\n', 'ro': '- Hidrogen.'}"
"{'en': '- Oh, yes!', 'ro': '- Ah!'}"
"{'en': '- Ah!\n', 'ro': '- Ah!'}"
"{'en': '- Ah!\n', 'ro': '- Ah!'}"
"{'en': '- Yes.', 'ro': '- Da .'}"
"{'en': '- Yep.\n', 'ro': '- Da .'}"
"{'en': '- Yep.\n', 'ro': '- Da .'}"
"{'en': '- What?', 'ro': '-whoa!'}"
"{'en': '- Whoa!\n', 'ro': '-whoa!'}"
"{'en': '- Whoa!\n', 'ro': '-whoa!'}"
"{'en': '- All right.', 'ro': '- Bun.'}"
"{'en': '- Okay.\n', 'ro': '- Bun.'}"
"{'en': '- Okay.\n', 'ro': '- Bun.'}"
"{'en': '- Toby.', 'ro': '- Toby.'}"
"{'en': '- Toby.\n', 'ro': '- Toby.'}"
"{'en': '- Toby.\n', 'ro': '- Toby.'}"
"{'en': '- Bastard.', 'ro': '- Nenorocitule!'}"
"{'en': '- Bastard.\n', 'ro': '- Nenorocitule!'}"
"{'en': '- Bastard.\n', 'ro': '- Nenorocitule!'}"
"{'en': '- All right.', 'ro': '- Okay.'}"
"{'en': '- Okay.\n', 'ro': '- Okay.'}"
"{'en': '- Okay.\n', 'ro': '- Okay.'}"
"{'en': ""- What's the matter?"", 'ro': '- Probleme?'}"
"{'en': '- Problem?\n', 'ro': '- Probleme?'}"
"{'en': '- Problem?\n', 'ro': '- Probleme?'}"
"{'en': ""- It's Wilma."", 'ro': '- Wilma.'}"
"{'en': '- Wilma.\n', 'ro': '- Wilma.'}"
"{'en': '- Wilma.\n', 'ro': '- Wilma.'}"
"{'en': '- Yeah.', 'ro': '- Oau.'}"
"{'en': '- Wow.\n', 'ro': '- Oau.'}"
"{'en': '- Wow.\n', 'ro': '- Oau.'}"
"{'en': '- Why?', 'ro': '- De ce?'}"
"{'en': '- Why?\n', 'ro': '- De ce?'}"
"{'en': '- Why?\n', 'ro': '- De ce?'}"
"{'en': '- 100,000 pounds!', 'ro': '- 100000 lire !'}"
"{'en': '- £100,000!\n', 'ro': '- 100000 lire !'}"
"{'en': '- £100,000!\n', 'ro': '- 100000 lire !'}"
"{'en': ""- I'm working."", 'ro': 'Afirmativ.'}"
"{'en': '- Working.\n', 'ro': 'Afirmativ.'}"
"{'en': '- Working.\n', 'ro': 'Afirmativ.'}"
"{'en': '- You okay?', 'ro': '- Bine?'}"
"{'en': '- Okay?\n', 'ro': '- Bine?'}"
"{'en': '- Okay?\n', 'ro': '- Bine?'}"
"{'en': '- Why?', 'ro': '- De ce?'}"
"{'en': '- Why?\n', 'ro': '- De ce?'}"
"{'en': '- Why?\n', 'ro': '- De ce?'}"
"{'en': '- Cowards!', 'ro': '- Laşii !'}"
"{'en': '- Cowards!\n', 'ro': '- Laşii !'}"
"{'en': '- Cowards!\n', 'ro': '- Laşii !'}"
"{'en': '""Dear Al...', 'ro': '""Dragă Al...'}"
"{'en': '""Dear Al...\n', 'ro': '""Dragă Al...'}"
"{'en': '""Dear Al...\n', 'ro': '""Dragă Al...'}"
"{'en': '- Come on!', 'ro': '- Sari!'}"
"{'en': '- Go!\n', 'ro': '- Sari!'}"
"{'en': '- Go!\n', 'ro': '- Sari!'}"
"{'en': '- A lot.', 'ro': '- Plenty.'}"
"{'en': '- Plenty.\n', 'ro': '- Plenty.'}"
"{'en': '- Plenty.\n', 'ro': '- Plenty.'}"
"{'en': '- Dinger?', 'ro': 'Dinger?'}"
"{'en': '- Dinger?\n', 'ro': 'Dinger?'}"
"{'en': '- Dinger?\n', 'ro': 'Dinger?'}"
"{'en': '- Go on.', 'ro': '- Du-te.'}"
"{'en': '-Go ahead.\n', 'ro': '- Du-te.'}"
"{'en': '-Go ahead.\n', 'ro': '- Du-te.'}"
"{'en': '- Why?', 'ro': '- De ce?'}"
"{'en': '- Why?\n', 'ro': '- De ce?'}"
"{'en': '- Why?\n', 'ro': '- De ce?'}"
"{'en': '- Him.', 'ro': 'El.'}"
"{'en': '- Him.\n', 'ro': 'El.'}"
"{'en': '- Him.\n', 'ro': 'El.'}"
"{'en': '- Sir.', 'ro': 'Domnule...'}"
"{'en': '- Monsieur.\n', 'ro': 'Domnule...'}"
"{'en': '- Monsieur.\n', 'ro': 'Domnule...'}"
"{'en': '- Well done.', 'ro': 'Bravo.'}"
"{'en': '- Bravo.\n', 'ro': 'Bravo.'}"
"{'en': '- Bravo.\n', 'ro': 'Bravo.'}"
"{'en': '- Yes.', 'ro': 'Mărime gigant.'}"
"{'en': '-Uh-huh.\n', 'ro': 'Mărime gigant.'}"
"{'en': '-Uh-huh.\n', 'ro': 'Mărime gigant.'}"
"{'en': '- Well?', 'ro': '- Ei?'}"
"{'en': '- Well?\n', 'ro': '- Ei?'}"
"{'en': '- Well?\n', 'ro': '- Ei?'}"
"{'en': '- Angheliu.', 'ro': 'Familia Angheliu.'}"
"{'en': '- Angheliu.\n', 'ro': 'Familia Angheliu.'}"
"{'en': '- Angheliu.\n', 'ro': 'Familia Angheliu.'}"
"{'en': '- Ready?', 'ro': '- Sunteţi gata ?'}"
"{'en': '- Ready?\n', 'ro': '- Sunteţi gata ?'}"
"{'en': '- Ready?\n', 'ro': '- Sunteţi gata ?'}"
"{'en': '- And...', 'ro': '- Și...'}"
"{'en': '- And...\n', 'ro': '- Și...'}"
"{'en': '- And...\n', 'ro': '- Și...'}"
"{'en': '- Yes?', 'ro': '- Da?'}"
"{'en': '- Yeah?\n', 'ro': '- Da?'}"
"{'en': '- Yeah?\n', 'ro': '- Da?'}"
"{'en': '- Bryan.', 'ro': '- Bryan!'}"
"{'en': '- Bryan.\n', 'ro': '- Bryan!'}"
"{'en': '- Bryan.\n', 'ro': '- Bryan!'}"
"{'en': '- All right.', 'ro': '-În regulă.'}"
"{'en': '- Okay.\n', 'ro': '-În regulă.'}"
"{'en': '- Okay.\n', 'ro': '-În regulă.'}"
"{'en': ""Bobby, what's this?"", 'ro': 'Bobby!'}"
"{'en': '(Screams) Bobby!\n', 'ro': 'Bobby!'}"
"{'en': '(Screams) Bobby!\n', 'ro': 'Bobby!'}"
"{'en': '- So what?', 'ro': '- Si?'}"
"{'en': '- And?\n', 'ro': '- Si?'}"
"{'en': '- And?\n', 'ro': '- Si?'}"
"{'en': '- Poland.', 'ro': '- În Polonia.'}"
"{'en': '- Poland.\n', 'ro': '- În Polonia.'}"
"{'en': '- Poland.\n', 'ro': '- În Polonia.'}"
"{'en': '- Dad!', 'ro': '- Tata!'}"
"{'en': '- Dad!\n', 'ro': '- Tata!'}"
"{'en': '- Dad!\n', 'ro': '- Tata!'}"
"{'en': '- 215.', 'ro': '- 215.'}"
"{'en': '- 215.\n', 'ro': '- 215.'}"
"{'en': '- 215.\n', 'ro': '- 215.'}"
"{'en': '- Right now?', 'ro': 'Acum?'}"
"{'en': '- Now?\n', 'ro': 'Acum?'}"
"{'en': '- Now?\n', 'ro': 'Acum?'}"
"{'en': '- Yes.', 'ro': '- Da.'}"
"{'en': '- YEAH.\n', 'ro': '- Da.'}"
"{'en': '- YEAH.\n', 'ro': '- Da.'}"
"{'en': '- Yes?', 'ro': '- DA.'}"
"{'en': '- Yeah?\n', 'ro': '- DA.'}"
"{'en': '- Yeah?\n', 'ro': '- DA.'}"
"{'en': ""- I'm sorry."", 'ro': '- Iartă-mă.'}"
"{'en': '- Sorry.\n', 'ro': '- Iartă-mă.'}"
"{'en': '- Sorry.\n', 'ro': '- Iartă-mă.'}"
"{'en': '- Yes.', 'ro': '- Sst.'}"
"{'en': '- Shh.\n', 'ro': '- Sst.'}"
"{'en': '- Shh.\n', 'ro': '- Sst.'}"
"{'en': '- Are you eating?', 'ro': '- Ai mâncat? - Da. Tu?'}"
"{'en': '-You eating?\n', 'ro': '- Ai mâncat? - Da. Tu?'}"
"{'en': '-You eating?\n', 'ro': '- Ai mâncat? - Da. Tu?'}"
"{'en': '- Exactly.', 'ro': '- Exact.'}"
"{'en': '- Exactly.\n', 'ro': '- Exact.'}"
"{'en': '- Exactly.\n', 'ro': '- Exact.'}"
"{'en': '- Well...', 'ro': '- Păi...'}"
"{'en': '- Well...\n', 'ro': '- Păi...'}"
"{'en': '- Well...\n', 'ro': '- Păi...'}"
"{'en': '- Dismissed.', 'ro': 'Liber.'}"
"{'en': '~ Dismissed.\n', 'ro': 'Liber.'}"
"{'en': '~ Dismissed.\n', 'ro': 'Liber.'}"
"{'en': 'Yes.', 'ro': '"".'}"
"{'en': ""'Yeah.\n"", 'ro': '"".'}"
"{'en': ""'Yeah.\n"", 'ro': '"".'}"
"{'en': '- Uh...', 'ro': '- Um...'}"
"{'en': '- Um...\n', 'ro': '- Um...'}"
"{'en': '- Um...\n', 'ro': '- Um...'}"
"{'en': '- Yes.', 'ro': '- Huh.'}"
"{'en': '- Huh.\n', 'ro': '- Huh.'}"
"{'en': '- Huh.\n', 'ro': '- Huh.'}"
"{'en': ""- That's fantastic."", 'ro': '- Fantastic.'}"
"{'en': '- Fantastic.\n', 'ro': '- Fantastic.'}"
"{'en': '- Fantastic.\n', 'ro': '- Fantastic.'}"
"{'en': ""- It's Tim."", 'ro': '- Tim.'}"
"{'en': '- Tim.\n', 'ro': '- Tim.'}"
"{'en': '- Tim.\n', 'ro': '- Tim.'}"
"{'en': '- Why?', 'ro': '- De ce?'}"
"{'en': '- Why?\n', 'ro': '- De ce?'}"
"{'en': '- Why?\n', 'ro': '- De ce?'}"
"{'en': '- Julio!', 'ro': '-Julio!'}"
"{'en': '- Julio!\n', 'ro': '-Julio!'}"
"{'en': '- Julio!\n', 'ro': '-Julio!'}"
"{'en': '- Keefer.', 'ro': '- Keefer.'}"
"{'en': '- Keefer.\n', 'ro': '- Keefer.'}"
"{'en': '- Keefer.\n', 'ro': '- Keefer.'}"
"{'en': '- Yes!', 'ro': '- Da!'}"
"{'en': '- Yes!\n', 'ro': '- Da!'}"
"{'en': '- Yes!\n', 'ro': '- Da!'}"
"{'en': '- Yeah.', 'ro': '- Wow.'}"
"{'en': '- Wow.\n', 'ro': '- Wow.'}"
"{'en': '- Wow.\n', 'ro': '- Wow.'}"
"{'en': '- Cliff!', 'ro': '- Cliff!'}"
"{'en': '- Cliff!\n', 'ro': '- Cliff!'}"
"{'en': '- Cliff!\n', 'ro': '- Cliff!'}"
"{'en': '- After.', 'ro': '- După.'}"
"{'en': '- After.\n', 'ro': '- După.'}"
"{'en': '- After.\n', 'ro': '- După.'}"
"{'en': '- Yes?', 'ro': 'Mama?'}"
"{'en': '- Yes?\n', 'ro': 'Mama?'}"
"{'en': '- Yes?\n', 'ro': 'Mama?'}"
"{'en': '- All right.', 'ro': '- Ok.'}"
"{'en': '-All right.\n', 'ro': '- Ok.'}"
"{'en': '-All right.\n', 'ro': '- Ok.'}"
"{'en': '- Yeah, all right.', 'ro': '-Da, bine.'}"
"{'en': '-Yeah, okay.\n', 'ro': '-Da, bine.'}"
"{'en': '-Yeah, okay.\n', 'ro': '-Da, bine.'}"
"{'en': '- Sergeant!', 'ro': 'Temo!'}"
"{'en': '- Sergeant!\n', 'ro': 'Temo!'}"
"{'en': '- Sergeant!\n', 'ro': 'Temo!'}"
"{'en': '(Maya) Livvie!', 'ro': 'Livvie!'}"
"{'en': '(Maya) Livvie!\n', 'ro': 'Livvie!'}"
"{'en': '(Maya) Livvie!\n', 'ro': 'Livvie!'}"
"{'en': '- Great.', 'ro': '- Misto.'}"
"{'en': '- Cool.\n', 'ro': '- Misto.'}"
"{'en': '- Cool.\n', 'ro': '- Misto.'}"
"{'en': '- Why?', 'ro': '- De ce?'}"
"{'en': '- Why?\n', 'ro': '- De ce?'}"
"{'en': '- Why?\n', 'ro': '- De ce?'}"
"{'en': '- All right.', 'ro': '- În ordine.'}"
"{'en': '- Alright.\n', 'ro': '- În ordine.'}"
"{'en': '- Alright.\n', 'ro': '- În ordine.'}"
"{'en': '- Yes.', 'ro': '- Ce ai fost.'}"
"{'en': '- Were.\n', 'ro': '- Ce ai fost.'}"
"{'en': '- Were.\n', 'ro': '- Ce ai fost.'}"
"{'en': '- Yes, Highness!', 'ro': 'Da, Înălţime !'}"
"{'en': '-Yes, Highness!\n', 'ro': 'Da, Înălţime !'}"
"{'en': '-Yes, Highness!\n', 'ro': 'Da, Înălţime !'}"
"{'en': '- Goodbye.', 'ro': 'La revedere.'}"
"{'en': '- Goodbye.\n', 'ro': 'La revedere.'}"
"{'en': '- Goodbye.\n', 'ro': 'La revedere.'}"
"{'en': '- Perfect!', 'ro': 'Perfect !'}"
"{'en': '- Perfect!\n', 'ro': 'Perfect !'}"
"{'en': '- Perfect!\n', 'ro': 'Perfect !'}"
"{'en': '- See?', 'ro': '- Vezi?'}"
"{'en': '- See?\n', 'ro': '- Vezi?'}"
"{'en': '- See?\n', 'ro': '- Vezi?'}"
"{'en': '- Hello.', 'ro': '- Hei.'}"
"{'en': '- Hey.\n', 'ro': '- Hei.'}"
"{'en': '- Hey.\n', 'ro': '- Hei.'}"
"{'en': '- 2.50.', 'ro': '- 2.50.'}"
"{'en': '- 2.50.\n', 'ro': '- 2.50.'}"
"{'en': '- 2.50.\n', 'ro': '- 2.50.'}"
"{'en': '- Why?', 'ro': '- De ce?'}"
"{'en': '- Why?\n', 'ro': '- De ce?'}"
"{'en': '- Why?\n', 'ro': '- De ce?'}"
"{'en': '- Strictly.', 'ro': '- Numai afaceri.'}"
"{'en': '- Strictly.\n', 'ro': '- Numai afaceri.'}"
"{'en': '- Strictly.\n', 'ro': '- Numai afaceri.'}"
"{'en': ""- She's the roommate."", 'ro': 'Colego.'}"
"{'en': '- Roomie.\n', 'ro': 'Colego.'}"
"{'en': '- Roomie.\n', 'ro': 'Colego.'}"
"{'en': '- Barry?', 'ro': '- Barry?'}"
"{'en': '- Barry?\n', 'ro': '- Barry?'}"
"{'en': '- Barry?\n', 'ro': '- Barry?'}"
"{'en': '""Beautiful!', 'ro': 'Frumos!'}"
"{'en': '""Beautiful!\n', 'ro': 'Frumos!'}"
"{'en': '""Beautiful!\n', 'ro': 'Frumos!'}"
"{'en': ""- That's funny."", 'ro': '- Râde ciob de oală spartă!'}"
"{'en': '- Funny.\n', 'ro': '- Râde ciob de oală spartă!'}"
"{'en': '- Funny.\n', 'ro': '- Râde ciob de oală spartă!'}"
"{'en': ""- Yeah, that's right."", 'ro': 'mm... Efes...'}"
"{'en': 'mm... eph...\n', 'ro': 'mm... Efes...'}"
"{'en': 'mm... eph...\n', 'ro': 'mm... Efes...'}"
"{'en': '- Yes?', 'ro': '- Da?'}"
"{'en': '- Yeah?\n', 'ro': '- Da?'}"
"{'en': '- Yeah?\n', 'ro': '- Da?'}"
"{'en': '- Me?', 'ro': '- Eu ?'}"
"{'en': '- Me?\n', 'ro': '- Eu ?'}"
"{'en': '- Me?\n', 'ro': '- Eu ?'}"
"{'en': '- Listen...', 'ro': 'Uite!'}"
"{'en': '- Look...\n', 'ro': 'Uite!'}"
"{'en': '- Look...\n', 'ro': 'Uite!'}"
"{'en': '...especially Unger.', 'ro': '...mai ales Unger.'}"
"{'en': '...especially Unger.\n', 'ro': '...mai ales Unger.'}"
"{'en': '...especially Unger.\n', 'ro': '...mai ales Unger.'}"
"{'en': '- Paige?', 'ro': '- Paige?'}"
"{'en': '- Paige?\n', 'ro': '- Paige?'}"
"{'en': '- Paige?\n', 'ro': '- Paige?'}"
"{'en': '- Please.', 'ro': 'Vă rog.'}"
"{'en': '- Please.\n', 'ro': 'Vă rog.'}"
"{'en': '- Please.\n', 'ro': 'Vă rog.'}"
"{'en': '- Because...', 'ro': '(Huruitul)'}"
"{'en': '- Because...\n', 'ro': '(Huruitul)'}"
"{'en': '- Because...\n', 'ro': '(Huruitul)'}"
"{'en': '- Uh...', 'ro': '- Aaa...'}"
"{'en': '- Er...\n', 'ro': '- Aaa...'}"
"{'en': '- Er...\n', 'ro': '- Aaa...'}"
"{'en': '- Wrong.', 'ro': '- Greşit.'}"
"{'en': '- Wrong.\n', 'ro': '- Greşit.'}"
"{'en': '- Wrong.\n', 'ro': '- Greşit.'}"
"{'en': ""- That's fantastic!"", 'ro': '- Excelent!'}"
"{'en': '- Fantastic!\n', 'ro': '- Excelent!'}"
"{'en': '- Fantastic!\n', 'ro': '- Excelent!'}"
"{'en': '- Leni...', 'ro': '- Leni...'}"
"{'en': '- Leni...\n', 'ro': '- Leni...'}"
"{'en': '- Leni...\n', 'ro': '- Leni...'}"
"{'en': '- Good!', 'ro': '- Mildred...'}"
"{'en': '- Good!\n', 'ro': '- Mildred...'}"
"{'en': '- Good!\n', 'ro': '- Mildred...'}"
"{'en': '- Radar?', 'ro': '- Radar ? - Domnule ?'}"
"{'en': '- Radar?\n', 'ro': '- Radar ? - Domnule ?'}"
"{'en': '- Radar?\n', 'ro': '- Radar ? - Domnule ?'}"
"{'en': '- Tom...', 'ro': '- Tom...'}"
"{'en': '- Tom...\n', 'ro': '- Tom...'}"
"{'en': '- Tom...\n', 'ro': '- Tom...'}"
"{'en': '- Ruth.', 'ro': '- Ruth.'}"
"{'en': '- Ruth.\n', 'ro': '- Ruth.'}"
"{'en': '- Ruth.\n', 'ro': '- Ruth.'}"
"{'en': '- Nice.', 'ro': '- Frumos.'}"
"{'en': '- Nice.\n', 'ro': '- Frumos.'}"
"{'en': '- Nice.\n', 'ro': '- Frumos.'}"
"{'en': '- Yes.', 'ro': '- Da.'}"
"{'en': '- Right.\n', 'ro': '- Da.'}"
"{'en': '- Right.\n', 'ro': '- Da.'}"
"{'en': '- Darrell!', 'ro': '- Darrell!'}"
"{'en': '- Darrell!\n', 'ro': '- Darrell!'}"
"{'en': '- Darrell!\n', 'ro': '- Darrell!'}"
"{'en': '- Tonda?', 'ro': '- Tonda?'}"
