translation
"{'af': 'Baie groot', 'en': ', Huge'}"
"{'af': 'Baie groot', 'en': ', Huge'}"
"{'af': 'Baie groot', 'en': ', Huge'}"
"{'af': 'Baie groot', 'en': 'Huge'}"
"{'af': 'Jy word kruispos na meer as vyf nuusgroepe . Asseblief heroorweeg hetsy hierdie is rerig bruikbare en verwyder groepe in wat jou artikel is off- topic . Doen Jy wil hÃª na re- edit die artikel of stuur dit in elkgeval ?', 'en': 'You are crossposting to more than five newsgroups . Please reconsider whether this is really useful and remove groups in which your article is off-topic . Do you want to re-edit the article or send it anyway ?'}"
"{'af': 'Ja, ek skryf oor Bach se Johannes-passie', 'en': ""Yes, I'm writing a book about Bach's , Passion of St. John.""}"
"{'af': 'Ja, ek skryf oor Bach se Johannes-passie', 'en': ""? Yes, ? I'm writing a book about Bach's Passion of St. John.""}"
"{'af': 'Ja, ek skryf oor Bach se Johannes-passie', 'en': ""Yes, . I'm writing : a ! book about Bach's Passion of St. . John.""}"
"{'af': 'Ja, ek skryf oor Bach se Johannes-passie', 'en': ""Yes, I'm writing a book about Bach's Passion of St. John.""}"
"{'af': 'CaryCity in Austria', 'en': '. Vandans'}"
"{'af': 'CaryCity in Austria', 'en': '! Vandans'}"
"{'af': 'CaryCity in Austria', 'en': '; Vandans'}"
"{'af': 'CaryCity in Austria', 'en': 'Vandans'}"
"{'af': 'Ster NaamCity in Oklahoma USA', 'en': ': Lawton'}"
"{'af': 'Ster NaamCity in Oklahoma USA', 'en': '! Lawton'}"
"{'af': 'Ster NaamCity in Oklahoma USA', 'en': '! Lawton'}"
"{'af': 'Ster NaamCity in Oklahoma USA', 'en': 'Lawton'}"
"{'af': 'Kyk, hulle noem hom ""Zecuk"".', 'en': "". Look, ? it's called Zecuk.""}"
"{'af': 'Kyk, hulle noem hom ""Zecuk"".', 'en': ""Look, ; it's called Zecuk.""}"
"{'af': 'Kyk, hulle noem hom ""Zecuk"".', 'en': ""Look, it's called . Zecuk.""}"
"{'af': 'Kyk, hulle noem hom ""Zecuk"".', 'en': ""Look, it's called Zecuk.""}"
"{'af': 'Model', 'en': ', Model'}"
"{'af': 'Model', 'en': ': Model'}"
"{'af': 'Model', 'en': '? Model'}"
"{'af': 'Model', 'en': 'Model'}"
"{'af': 'Leo', 'en': '! Bad Constellation Boundary data.'}"
"{'af': 'Leo', 'en': 'Bad : Constellation Boundary , data.'}"
"{'af': 'Leo', 'en': ', Bad Constellation , Boundary data.'}"
"{'af': 'Leo', 'en': 'Bad Constellation Boundary data.'}"
"{'af': 'enige aangeleentheid rakende universele toegang en universele diens;', 'en': 'relating to universal access and , universal service;'}"
"{'af': 'enige aangeleentheid rakende universele toegang en universele diens;', 'en': 'relating ! to ; universal access and universal service;'}"
"{'af': 'enige aangeleentheid rakende universele toegang en universele diens;', 'en': 'relating to , universal access and universal service;'}"
"{'af': 'enige aangeleentheid rakende universele toegang en universele diens;', 'en': 'relating to universal access and universal service;'}"
"{'af': 'Wat is dit?', 'en': 'What is ! it?'}"
"{'af': 'Wat is dit?', 'en': '; What is it?'}"
"{'af': 'Wat is dit?', 'en': '. What is it?'}"
"{'af': 'Wat is dit?', 'en': 'What is it?'}"
"{'af': 'Voorwerp Details', 'en': '. Sources'}"
"{'af': 'Voorwerp Details', 'en': '; Sources'}"
"{'af': 'Voorwerp Details', 'en': '. Sources'}"
"{'af': 'Voorwerp Details', 'en': 'Sources'}"
"{'af': ""Waar's die ring?"", 'en': "". Where's the klutz?""}"
"{'af': ""Waar's die ring?"", 'en': ""Where's ? the klutz?""}"
"{'af': ""Waar's die ring?"", 'en': "", Where's the klutz?""}"
"{'af': ""Waar's die ring?"", 'en': ""Where's the klutz?""}"
"{'af': 'Voorkeure vir Knibbels', 'en': '! Nibbles Preferences'}"
"{'af': 'Voorkeure vir Knibbels', 'en': ', Nibbles Preferences'}"
"{'af': 'Voorkeure vir Knibbels', 'en': 'Nibbles , Preferences'}"
"{'af': 'Voorkeure vir Knibbels', 'en': 'Nibbles Preferences'}"
"{'af': 'Geen skuiwe moontlik nie. Ontdoen of begin oor.', 'en': 'No moves are ? possible. Undo or start again.'}"
"{'af': 'Geen skuiwe moontlik nie. Ontdoen of begin oor.', 'en': 'No moves are ? possible. Undo or start again.'}"
"{'af': 'Geen skuiwe moontlik nie. Ontdoen of begin oor.', 'en': 'No moves are : possible. Undo or start again.'}"
"{'af': 'Geen skuiwe moontlik nie. Ontdoen of begin oor.', 'en': 'No moves are possible. Undo or start again.'}"
"{'af': ""Geleentheid sonder 'n einddatum"", 'en': 'Event with no : end : date'}"
"{'af': ""Geleentheid sonder 'n einddatum"", 'en': 'Event with no . end : date'}"
"{'af': ""Geleentheid sonder 'n einddatum"", 'en': 'Event with no end : date'}"
"{'af': ""Geleentheid sonder 'n einddatum"", 'en': 'Event with no end date'}"
"{'af': 'Die rooi komponent van die voorgrondkleur.', 'en': 'The red . component of ; the foreground color.'}"
"{'af': 'Die rooi komponent van die voorgrondkleur.', 'en': 'The red , component ! of the , foreground color.'}"
"{'af': 'Die rooi komponent van die voorgrondkleur.', 'en': ', The . red component : of the foreground color.'}"
"{'af': 'Die rooi komponent van die voorgrondkleur.', 'en': 'The red component of the foreground color.'}"
"{'af': 'ruitedrie', 'en': ': three of diamonds'}"
"{'af': 'ruitedrie', 'en': '! three of diamonds'}"
"{'af': 'ruitedrie', 'en': '! three of diamonds'}"
"{'af': 'ruitedrie', 'en': 'three of diamonds'}"
"{'af': 'Hou', 'en': ': Keep'}"
"{'af': 'Hou', 'en': '; Keep'}"
"{'af': 'Hou', 'en': ': Keep'}"
"{'af': 'Hou', 'en': 'Keep'}"
"{'af': 'Herhindering : @ title: window', 'en': 'Reminders ? Enabled'}"
"{'af': 'Herhindering : @ title: window', 'en': '? Reminders Enabled'}"
"{'af': 'Herhindering : @ title: window', 'en': '? Reminders Enabled'}"
"{'af': 'Herhindering : @ title: window', 'en': 'Reminders Enabled'}"
"{'af': 'Pak Venster na die Linkerkant', 'en': 'Pack Window , to the Left'}"
"{'af': 'Pak Venster na die Linkerkant', 'en': 'Pack Window ; to the Left'}"
"{'af': 'Pak Venster na die Linkerkant', 'en': '? Pack Window to the Left'}"
"{'af': 'Pak Venster na die Linkerkant', 'en': 'Pack Window to the Left'}"
"{'af': 'Meervoud', 'en': ': Play'}"
"{'af': 'Meervoud', 'en': ': Play'}"
"{'af': 'Meervoud', 'en': ', Play'}"
"{'af': 'Meervoud', 'en': 'Play'}"
"{'af': 'Hulle skuld my', 'en': 'They owe ; it to ? me.'}"
"{'af': 'Hulle skuld my', 'en': 'They owe it to ! me.'}"
"{'af': 'Hulle skuld my', 'en': 'They ! owe it ! to me.'}"
"{'af': 'Hulle skuld my', 'en': 'They owe it to me.'}"
"{'af': 'Besigtig Log', 'en': '; View Log'}"
"{'af': 'Besigtig Log', 'en': '. View Log'}"
"{'af': 'Besigtig Log', 'en': '! View Log'}"
"{'af': 'Besigtig Log', 'en': 'View Log'}"
"{'af': ""'%s' is nie 'n geldige naam nie"", 'en': 'Error: %s is not a ; valid : unique bus name.'}"
"{'af': ""'%s' is nie 'n geldige naam nie"", 'en': 'Error: %s ? is not ? a . valid unique bus name.'}"
"{'af': ""'%s' is nie 'n geldige naam nie"", 'en': 'Error: %s is not ? a valid unique bus name.'}"
"{'af': ""'%s' is nie 'n geldige naam nie"", 'en': 'Error: %s is not a valid unique bus name.'}"
"{'af': 'Daar is hy nou in sy element.', 'en': ""Are you crazy? He's ! somebody in the ministry.""}"
"{'af': 'Daar is hy nou in sy element.', 'en': "", Are you : crazy? He's somebody in the . ministry.""}"
"{'af': 'Daar is hy nou in sy element.', 'en': ""Are you crazy? He's somebody . in the : ministry.""}"
"{'af': 'Daar is hy nou in sy element.', 'en': ""Are you crazy? He's somebody in the ministry.""}"
"{'af': 'Kennisgewing vir lae battery', 'en': ': Low Battery Notification'}"
"{'af': 'Kennisgewing vir lae battery', 'en': 'Low : Battery Notification'}"
"{'af': 'Kennisgewing vir lae battery', 'en': 'Low Battery , Notification'}"
"{'af': 'Kennisgewing vir lae battery', 'en': 'Low Battery Notification'}"
"{'af': 'Gaan na die volgende definisie', 'en': 'Go . to ? the next definition'}"
"{'af': 'Gaan na die volgende definisie', 'en': 'Go to , the next definition'}"
"{'af': 'Gaan na die volgende definisie', 'en': 'Go to : the , next definition'}"
"{'af': 'Gaan na die volgende definisie', 'en': 'Go to the next definition'}"
"{'af': '_24-uur-formaat', 'en': '_24 hour ! format'}"
"{'af': '_24-uur-formaat', 'en': '_24 hour ? format'}"
"{'af': '_24-uur-formaat', 'en': '_24 ? hour format'}"
"{'af': '_24-uur-formaat', 'en': '_24 hour format'}"
"{'af': ""Vervang asb. die skyf met 'n skryfbare CD met ten minste %i MiG beskikbare ruimte."", 'en': 'Please replace the disc with a writable CD with at least %i MiB . of free space.'}"
"{'af': ""Vervang asb. die skyf met 'n skryfbare CD met ten minste %i MiG beskikbare ruimte."", 'en': 'Please replace the disc with a writable CD with at ! least %i MiB of free space.'}"
"{'af': ""Vervang asb. die skyf met 'n skryfbare CD met ten minste %i MiG beskikbare ruimte."", 'en': 'Please replace the disc with a writable CD with at least %i MiB of free : space.'}"
"{'af': ""Vervang asb. die skyf met 'n skryfbare CD met ten minste %i MiG beskikbare ruimte."", 'en': 'Please replace the disc with a writable CD with at least %i MiB of free space.'}"
"{'af': 'Voorraad oor: ~a', 'en': 'Stock ! left: ~a'}"
"{'af': 'Voorraad oor: ~a', 'en': 'Stock left: ? ~a'}"
"{'af': 'Voorraad oor: ~a', 'en': ', Stock left: ~a'}"
"{'af': 'Voorraad oor: ~a', 'en': 'Stock left: ~a'}"
"{'af': 'Afsprake en vergaderings', 'en': 'Appointments and ? Meetings'}"
"{'af': 'Afsprake en vergaderings', 'en': '; Appointments and Meetings'}"
"{'af': 'Afsprake en vergaderings', 'en': 'Appointments and ! Meetings'}"
"{'af': 'Afsprake en vergaderings', 'en': 'Appointments and Meetings'}"
"{'af': '%s %s ná die begin van die afspraakPlay a sound', 'en': '%s . %s after the start of the , appointment'}"
"{'af': '%s %s ná die begin van die afspraakPlay a sound', 'en': '%s %s ? after the start of the appointment'}"
"{'af': '%s %s ná die begin van die afspraakPlay a sound', 'en': ', %s %s after the start of the appointment'}"
"{'af': '%s %s ná die begin van die afspraakPlay a sound', 'en': '%s %s after the start of the appointment'}"
"{'af': 'tensy die Owerheid anders bepaal.', 'en': 'unless specified to , the contrary by the Authority.'}"
"{'af': 'tensy die Owerheid anders bepaal.', 'en': '; unless specified ? to the contrary by : the Authority.'}"
"{'af': 'tensy die Owerheid anders bepaal.', 'en': 'unless specified to the contrary ? by the Authority.'}"
"{'af': 'tensy die Owerheid anders bepaal.', 'en': 'unless specified to the contrary by the Authority.'}"
"{'af': 'Maak toe n_á druk', 'en': '; Close _after Printing'}"
"{'af': 'Maak toe n_á druk', 'en': 'Close _after : Printing'}"
"{'af': 'Maak toe n_á druk', 'en': 'Close : _after Printing'}"
"{'af': 'Maak toe n_á druk', 'en': 'Close _after Printing'}"
"{'af': '(2) Registrasie vir â\x80\x99n klaslisensie kan te eniger tyd voorgelÃª word op die wyse deur die', 'en': '(2) Registration . for a ; class ! licence may be submitted at ; any time in the manner'}"
"{'af': '(2) Registrasie vir â\x80\x99n klaslisensie kan te eniger tyd voorgelÃª word op die wyse deur die', 'en': '(2) Registration . for a class licence ? may . be ; submitted at any , time in the manner'}"
"{'af': '(2) Registrasie vir â\x80\x99n klaslisensie kan te eniger tyd voorgelÃª word op die wyse deur die', 'en': '(2) ! Registration for ; a class licence may be submitted : at any time in the manner'}"
"{'af': '(2) Registrasie vir â\x80\x99n klaslisensie kan te eniger tyd voorgelÃª word op die wyse deur die', 'en': '(2) Registration for a class licence may be submitted at any time in the manner'}"
"{'af': 'Gebruiker het operasie gekanselleer.', 'en': '; User cancelled operation'}"
"{'af': 'Gebruiker het operasie gekanselleer.', 'en': ', User cancelled operation'}"
"{'af': 'Gebruiker het operasie gekanselleer.', 'en': 'User ; cancelled operation'}"
"{'af': 'Gebruiker het operasie gekanselleer.', 'en': 'User cancelled operation'}"
"{'af': 'Minister', 'en': ', Minister...'}"
"{'af': 'Minister', 'en': '? Minister...'}"
"{'af': 'Minister', 'en': '. Minister...'}"
"{'af': 'Minister', 'en': 'Minister...'}"
"{'af': 'Kennisgewing vir lae battery', 'en': 'Low ! Battery Notification'}"
"{'af': 'Kennisgewing vir lae battery', 'en': 'Low : Battery Notification'}"
"{'af': 'Kennisgewing vir lae battery', 'en': '! Low Battery Notification'}"
"{'af': 'Kennisgewing vir lae battery', 'en': 'Low Battery Notification'}"
"{'af': ""Kon nie 'n tydelike rugsteunlêer skep terwyl %s gestoor word nie"", 'en': 'Could : not . create a temporary backup file while saving %s'}"
"{'af': ""Kon nie 'n tydelike rugsteunlêer skep terwyl %s gestoor word nie"", 'en': 'Could not , create a temporary , backup file while saving %s'}"
"{'af': ""Kon nie 'n tydelike rugsteunlêer skep terwyl %s gestoor word nie"", 'en': 'Could not create a temporary backup file ! while saving %s'}"
"{'af': ""Kon nie 'n tydelike rugsteunlêer skep terwyl %s gestoor word nie"", 'en': 'Could not create a temporary backup file while saving %s'}"
"{'af': 'Redigeer handtekening', 'en': ', Digital Signature'}"
"{'af': 'Redigeer handtekening', 'en': '? Digital Signature'}"
"{'af': 'Redigeer handtekening', 'en': '. Digital Signature'}"
"{'af': 'Redigeer handtekening', 'en': 'Digital Signature'}"
"{'af': 'U is vry om die werk te:', 'en': '! You are free:'}"
"{'af': 'U is vry om die werk te:', 'en': '; You are free:'}"
"{'af': 'U is vry om die werk te:', 'en': 'You are : free:'}"
"{'af': 'U is vry om die werk te:', 'en': 'You are free:'}"
"{'af': 'Tik nuwe UNIX-wagwoord in:', 'en': 'Enter new Unix : password:'}"
"{'af': 'Tik nuwe UNIX-wagwoord in:', 'en': ': Enter new Unix password:'}"
"{'af': 'Tik nuwe UNIX-wagwoord in:', 'en': '? Enter new . Unix password:'}"
"{'af': 'Tik nuwe UNIX-wagwoord in:', 'en': 'Enter new Unix password:'}"
"{'af': ""Kon nie lêer '%s' oopmaak nie: %s"", 'en': ""Failed to open ; file '%s': %s""}"
"{'af': ""Kon nie lêer '%s' oopmaak nie: %s"", 'en': ""Failed to , open file '%s': %s""}"
"{'af': ""Kon nie lêer '%s' oopmaak nie: %s"", 'en': ""Failed to open ? file '%s': %s""}"
"{'af': ""Kon nie lêer '%s' oopmaak nie: %s"", 'en': ""Failed to open file '%s': %s""}"
"{'af': 'Die grootte van die woorde wat gebruik word in bisgewyse berekeninge', 'en': 'The size of the ; words used : in bitwise ; operations'}"
"{'af': 'Die grootte van die woorde wat gebruik word in bisgewyse berekeninge', 'en': 'The size of the ! words used ! in bitwise operations'}"
"{'af': 'Die grootte van die woorde wat gebruik word in bisgewyse berekeninge', 'en': '? The size , of the words used in bitwise ! operations'}"
"{'af': 'Die grootte van die woorde wat gebruik word in bisgewyse berekeninge', 'en': 'The size of the words used in bitwise operations'}"
"{'af': 'Glo jy in God?', 'en': 'Do ! you ! believe in God?'}"
"{'af': 'Glo jy in God?', 'en': 'Do you believe : in God?'}"
"{'af': 'Glo jy in God?', 'en': '! Do . you believe in God?'}"
"{'af': 'Glo jy in God?', 'en': 'Do you believe in God?'}"
"{'af': 'Ek het dit al op skool gedoen.', 'en': 'I did that one ! in ; school.'}"
"{'af': 'Ek het dit al op skool gedoen.', 'en': 'I ! did that ; one in school.'}"
"{'af': 'Ek het dit al op skool gedoen.', 'en': '? I did that one . in school.'}"
"{'af': 'Ek het dit al op skool gedoen.', 'en': 'I did that one in school.'}"
"{'af': 'Bediener:', 'en': '. & Server:'}"
"{'af': 'Bediener:', 'en': '; & Server:'}"
"{'af': 'Bediener:', 'en': '. & Server:'}"
"{'af': 'Bediener:', 'en': '& Server:'}"
"{'af': 'O, ja, ons het jou ingeskryf', 'en': 'Oh yeah, ! we signed you up.'}"
"{'af': 'O, ja, ons het jou ingeskryf', 'en': ': Oh yeah, we signed : you up.'}"
"{'af': 'O, ja, ons het jou ingeskryf', 'en': '; Oh yeah, we signed you up.'}"
"{'af': 'O, ja, ons het jou ingeskryf', 'en': 'Oh yeah, we signed you up.'}"
"{'af': 'Nuwe Gids...', 'en': '! & New Folder...'}"
"{'af': 'Nuwe Gids...', 'en': '& New : Folder...'}"
"{'af': 'Nuwe Gids...', 'en': '& ? New Folder...'}"
"{'af': 'Nuwe Gids...', 'en': '& New Folder...'}"
"{'af': 'Ek gaan saam na die deur.', 'en': ""I'll see you ; to the door.""}"
"{'af': 'Ek gaan saam na die deur.', 'en': ""I'll see you to ? the , door.""}"
"{'af': 'Ek gaan saam na die deur.', 'en': ""I'll see , you to ! the door.""}"
"{'af': 'Ek gaan saam na die deur.', 'en': ""I'll see you to the door.""}"
"{'af': 'Ligte af', 'en': '! Lights Off'}"
"{'af': 'Ligte af', 'en': '. Lights Off'}"
"{'af': 'Ligte af', 'en': ': Lights Off'}"
"{'af': 'Ligte af', 'en': 'Lights Off'}"
"{'af': 'Jy staan voor my, gee pad.', 'en': ""; You're blocking my view, . move.""}"
"{'af': 'Jy staan voor my, gee pad.', 'en': ""You're ; blocking my view, ! move.""}"
"{'af': 'Jy staan voor my, gee pad.', 'en': ""You're blocking ; my ; view, move.""}"
"{'af': 'Jy staan voor my, gee pad.', 'en': ""You're blocking my view, move.""}"
"{'af': 'Volume uit', 'en': 'Volume ? mute'}"
"{'af': 'Volume uit', 'en': 'Volume ! mute'}"
"{'af': 'Volume uit', 'en': 'Volume . mute'}"
"{'af': 'Volume uit', 'en': 'Volume mute'}"
"{'af': 'Jou lans, Torgny, Neem jou lans!', 'en': ': Lance, Torgny. Lance!'}"
"{'af': 'Jou lans, Torgny, Neem jou lans!', 'en': ': Lance, Torgny. Lance!'}"
"{'af': 'Jou lans, Torgny, Neem jou lans!', 'en': 'Lance, Torgny. ? Lance!'}"
"{'af': 'Jou lans, Torgny, Neem jou lans!', 'en': 'Lance, Torgny. Lance!'}"
"{'af': 'Skermskoot op %s - %d.%s', 'en': 'Screenshot from %s - , %d.%s'}"
"{'af': 'Skermskoot op %s - %d.%s', 'en': 'Screenshot from , %s - %d.%s'}"
"{'af': 'Skermskoot op %s - %d.%s', 'en': 'Screenshot from : %s - %d.%s'}"
"{'af': 'Skermskoot op %s - %d.%s', 'en': 'Screenshot from %s - %d.%s'}"
"{'af': 'Masedonies', 'en': ', Macedonian'}"
"{'af': 'Masedonies', 'en': '? Macedonian'}"
"{'af': 'Masedonies', 'en': '; Macedonian'}"
"{'af': 'Masedonies', 'en': 'Macedonian'}"
"{'af': 'Hy het dit alles voor, dit was redelik goed.', 'en': ': He did the whole thing, it was ; very ; good.'}"
"{'af': 'Hy het dit alles voor, dit was redelik goed.', 'en': 'He did the whole ; thing, it ; was very good.'}"
"{'af': 'Hy het dit alles voor, dit was redelik goed.', 'en': 'He . did the whole thing, it was very good.'}"
"{'af': 'Hy het dit alles voor, dit was redelik goed.', 'en': 'He did the whole thing, it was very good.'}"
"{'af': 'Japannees', 'en': '? Japanese'}"
"{'af': 'Japannees', 'en': ', Japanese'}"
"{'af': 'Japannees', 'en': '! Japanese'}"
"{'af': 'Japannees', 'en': 'Japanese'}"
"{'af': 'Die argief ""%s"" kon nie geskep word nie', 'en': 'The , archive ""%s"" could not : be , created'}"
"{'af': 'Die argief ""%s"" kon nie geskep word nie', 'en': 'The ; archive ; ""%s"" could not be ; created'}"
"{'af': 'Die argief ""%s"" kon nie geskep word nie', 'en': '! The archive ""%s"" could not be created'}"
"{'af': 'Die argief ""%s"" kon nie geskep word nie', 'en': 'The archive ""%s"" could not be created'}"
"{'af': 'Invoer die korrek vertaling :', 'en': 'Enter ; the correct ; translation :'}"
"{'af': 'Invoer die korrek vertaling :', 'en': '? Enter the correct : translation :'}"
"{'af': 'Invoer die korrek vertaling :', 'en': '! Enter the correct translation :'}"
"{'af': 'Invoer die korrek vertaling :', 'en': 'Enter the correct translation :'}"
"{'af': 'Qlix', 'en': '. Qlix'}"
"{'af': 'Qlix', 'en': '. Qlix'}"
"{'af': 'Qlix', 'en': '; Qlix'}"
"{'af': 'Qlix', 'en': 'Qlix'}"
"{'af': 'Zoem in', 'en': 'Zoom , _In'}"
"{'af': 'Zoem in', 'en': ', Zoom _In'}"
"{'af': 'Zoem in', 'en': 'Zoom , _In'}"
"{'af': 'Zoem in', 'en': 'Zoom _In'}"
"{'af': 'Met drie is nie my styl.', 'en': ': Not my kind : of three-way.'}"
"{'af': 'Met drie is nie my styl.', 'en': 'Not my kind of . three-way.'}"
"{'af': 'Met drie is nie my styl.', 'en': 'Not my . kind of three-way.'}"
"{'af': 'Met drie is nie my styl.', 'en': 'Not my kind of three-way.'}"
"{'af': 'O', 'en': '; O'}"
"{'af': 'O', 'en': '? O'}"
"{'af': 'O', 'en': ', O'}"
"{'af': 'O', 'en': 'O'}"
"{'af': 'Verander Stensil Vertikaal OplynStencils', 'en': 'Circuit ? - Vertical Resistor (European)'}"
"{'af': 'Verander Stensil Vertikaal OplynStencils', 'en': 'Circuit : - Vertical Resistor (European)'}"
"{'af': 'Verander Stensil Vertikaal OplynStencils', 'en': 'Circuit - : Vertical Resistor , (European)'}"
"{'af': 'Verander Stensil Vertikaal OplynStencils', 'en': 'Circuit - Vertical Resistor (European)'}"
"{'af': 'Atoom en kernkrag', 'en': 'Atomic ? & & , Nuclear'}"
"{'af': 'Atoom en kernkrag', 'en': 'Atomic : & & Nuclear'}"
"{'af': 'Atoom en kernkrag', 'en': 'Atomic & . & : Nuclear'}"
"{'af': 'Atoom en kernkrag', 'en': 'Atomic & & Nuclear'}"
"{'af': 'Stuur _boodskap aan kontak', 'en': '; _Send Message ; to Contact'}"
"{'af': 'Stuur _boodskap aan kontak', 'en': ', _Send Message ! to Contact'}"
"{'af': 'Stuur _boodskap aan kontak', 'en': '_Send : Message to Contact'}"
"{'af': 'Stuur _boodskap aan kontak', 'en': '_Send Message to Contact'}"
"{'af': 'Programmeerder hulpprogram', 'en': ""Developer's . Help program""}"
"{'af': 'Programmeerder hulpprogram', 'en': ""Developer's ; Help program""}"
"{'af': 'Programmeerder hulpprogram', 'en': "". Developer's Help program""}"
"{'af': 'Programmeerder hulpprogram', 'en': ""Developer's Help program""}"
"{'af': 'Kan nie kleurkaartstruktuur toewys nie', 'en': 'Cannot . allocate . colormap structure'}"
"{'af': 'Kan nie kleurkaartstruktuur toewys nie', 'en': 'Cannot allocate . colormap ; structure'}"
"{'af': 'Kan nie kleurkaartstruktuur toewys nie', 'en': 'Cannot ; allocate colormap structure'}"
"{'af': 'Kan nie kleurkaartstruktuur toewys nie', 'en': 'Cannot allocate colormap structure'}"
"{'af': 'New', 'en': 'New : assigned task'}"
"{'af': 'New', 'en': 'New ? assigned task'}"
"{'af': 'New', 'en': 'New . assigned task'}"
"{'af': 'New', 'en': 'New assigned task'}"
"{'af': 'die fondasie-stapel', 'en': '; the foundation pile'}"
"{'af': 'die fondasie-stapel', 'en': '? the foundation pile'}"
"{'af': 'die fondasie-stapel', 'en': 'the ? foundation pile'}"
"{'af': 'die fondasie-stapel', 'en': 'the foundation pile'}"
"{'af': 'Weier', 'en': ', Reject'}"
"{'af': 'Weier', 'en': '? Reject'}"
"{'af': 'Weier', 'en': '; Reject'}"
"{'af': 'Weier', 'en': 'Reject'}"
"{'af': '- U het haar haar nuutste boek, sien ek', 'en': ""There's no more. I'm ! empty.""}"
"{'af': '- U het haar haar nuutste boek, sien ek', 'en': ""There's no more. I'm ; empty.""}"
"{'af': '- U het haar haar nuutste boek, sien ek', 'en': "", There's no more. I'm , empty.""}"
"{'af': '- U het haar haar nuutste boek, sien ek', 'en': ""There's no more. I'm empty.""}"
"{'af': '""%s"" kan nie by die versameling gevoeg word nie.', 'en': '""%s"" . cannot be added to the , selection.'}"
"{'af': '""%s"" kan nie by die versameling gevoeg word nie.', 'en': ': ""%s"" cannot ! be , added to the selection.'}"
"{'af': '""%s"" kan nie by die versameling gevoeg word nie.', 'en': '. ""%s"" . cannot be added to the selection.'}"
"{'af': '""%s"" kan nie by die versameling gevoeg word nie.', 'en': '""%s"" cannot be added to the selection.'}"
"{'af': '_Projek', 'en': '; _Project'}"
"{'af': '_Projek', 'en': ': _Project'}"
"{'af': '_Projek', 'en': ', _Project'}"
"{'af': '_Projek', 'en': '_Project'}"
"{'af': 'individuele lisensie verval het, daarop geregtig om voort te gaan met die verskaffing van', 'en': 'licence ; has expired, is entitled : to . continue providing a service as : if the . licence has not'}"
"{'af': 'individuele lisensie verval het, daarop geregtig om voort te gaan met die verskaffing van', 'en': 'licence has expired, ; is entitled to continue providing a service as if the licence has not'}"
"{'af': 'individuele lisensie verval het, daarop geregtig om voort te gaan met die verskaffing van', 'en': ', licence . has expired, ? is entitled to ; continue providing a service as if the licence has ! not'}"
"{'af': 'individuele lisensie verval het, daarop geregtig om voort te gaan met die verskaffing van', 'en': 'licence has expired, is entitled to continue providing a service as if the licence has not'}"
"{'af': 'Wag vir die robotte', 'en': 'Wait ? for the : robots'}"
"{'af': 'Wag vir die robotte', 'en': 'Wait for . the robots'}"
"{'af': 'Wag vir die robotte', 'en': '; Wait for the robots'}"
"{'af': 'Wag vir die robotte', 'en': 'Wait for the robots'}"
"{'af': ""Gaan ons na 'n bal?"", 'en': ""We're going to ? a ball?""}"
"{'af': ""Gaan ons na 'n bal?"", 'en': ""We're ? going to ? a ball?""}"
"{'af': ""Gaan ons na 'n bal?"", 'en': "". We're going to a ball?""}"
"{'af': ""Gaan ons na 'n bal?"", 'en': ""We're going to a ball?""}"
"{'af': 'LaaiÃ¯ng van projek % s', 'en': '; Edit Subprojects'}"
"{'af': 'LaaiÃ¯ng van projek % s', 'en': 'Edit . Subprojects'}"
"{'af': 'LaaiÃ¯ng van projek % s', 'en': ': Edit Subprojects'}"
"{'af': 'LaaiÃ¯ng van projek % s', 'en': 'Edit Subprojects'}"
"{'af': 'Vo_lgende definisie', 'en': '_Next , Definition'}"
"{'af': 'Vo_lgende definisie', 'en': '_Next ; Definition'}"
"{'af': 'Vo_lgende definisie', 'en': '_Next , Definition'}"
"{'af': 'Vo_lgende definisie', 'en': '_Next Definition'}"
"{'af': 'Vee Gids uit', 'en': 'Select . Transport'}"
"{'af': 'Vee Gids uit', 'en': 'Select ; Transport'}"
"{'af': 'Vee Gids uit', 'en': '? Select Transport'}"
"{'af': 'Vee Gids uit', 'en': 'Select Transport'}"
"{'af': 'Skiet asb. die skyf self uit ""%s"" uit.', 'en': 'Please eject the disc : from ""%s"" manually.'}"
"{'af': 'Skiet asb. die skyf self uit ""%s"" uit.', 'en': '. Please eject the : disc : from ""%s"" manually.'}"
"{'af': 'Skiet asb. die skyf self uit ""%s"" uit.', 'en': '? Please eject the , disc from ""%s"" manually.'}"
"{'af': 'Skiet asb. die skyf self uit ""%s"" uit.', 'en': 'Please eject the disc from ""%s"" manually.'}"
"{'af': 'Handtekeninge', 'en': ', Sig_natures'}"
"{'af': 'Handtekeninge', 'en': '; Sig_natures'}"
"{'af': 'Handtekeninge', 'en': '; Sig_natures'}"
"{'af': 'Handtekeninge', 'en': 'Sig_natures'}"
"{'af': ""GNOME is 'n Vrye, bruikbare, stabiele, toeganklike werkareaomgewing vir die Unix-agtige familie van bedryfstelsels."", 'en': 'GNOME ; is a Free, usable, stable, accessible desktop environment for the Unix-like family of operating systems.'}"
"{'af': ""GNOME is 'n Vrye, bruikbare, stabiele, toeganklike werkareaomgewing vir die Unix-agtige familie van bedryfstelsels."", 'en': 'GNOME is a Free, usable, stable, accessible desktop environment : for the Unix-like family of operating ; systems.'}"
