translation
"{'en': 'Print Preview', 'af': 'Druk Voorskou...'}"
"{'en': 'Group\n', 'af': 'Groep'}"
"{'en': 'Laptop battery', 'af': 'Draagbare rekenaar BateryComment'}"
"{'en': 'Laptop Battery\n', 'af': 'Draagbare rekenaar BateryComment'}"
"{'en': ""It's Master."", 'af': 'Is Meester'}"
"{'en': 'Is Master\n', 'af': 'Is Meester'}"
"{'en': 'Gloss finish', 'af': 'Glans voltooiïng'}"
"{'en': 'Glossy finishing\n', 'af': 'Glans voltooiïng'}"
"{'en': 'Phoenix', 'af': 'StrandCity in Alaska USA'}"
"{'en': 'Phoenix\n', 'af': 'StrandCity in Alaska USA'}"
"{'en': 'New group', 'af': 'Nuwe Groep'}"
"{'en': 'New Group\n', 'af': 'Nuwe Groep'}"
"{'en': 'Pyragua', 'af': 'Pyragua'}"
"{'en': 'Pyragua\n', 'af': 'Pyragua'}"
"{'en': 'Astellus Australis', 'af': 'EstlandiesCity in Saskatchewan Canada'}"
"{'en': 'Asellus Australis\n', 'af': 'EstlandiesCity in Saskatchewan Canada'}"
"{'en': 'CRD only', 'af': 'Slegs- crd'}"
"{'en': 'OnlyCRD\n', 'af': 'Slegs- crd'}"
"{'en': 'Online', 'af': 'Inlyn'}"
"{'en': 'Inline\n', 'af': 'Inlyn'}"
"{'en': 'KWMThème', 'af': 'KWMTema'}"
"{'en': 'KWMTheme\n', 'af': 'KWMTema'}"
"{'en': 'Grumium', 'af': 'star name'}"
"{'en': 'Grumium\n', 'af': 'star name'}"
"{'en': 'Central and Eastern European countries', 'af': 'Helsinki'}"
"{'en': 'Helsinki\n', 'af': 'Helsinki'}"
"{'en': 'Hungary', 'af': 'Hongarye'}"
"{'en': 'Hungary\n', 'af': 'Hongarye'}"
"{'en': 'Playlist Tool', 'af': 'Liedjie speel lys ProgramName'}"
"{'en': 'Playlist Tool\n', 'af': 'Liedjie speel lys ProgramName'}"
"{'en': 'Cancel', 'af': 'Kanselleer'}"
"{'en': 'Cancel\n', 'af': 'Kanselleer'}"
"{'en': 'Copy File', 'af': 'Lêer Kopie'}"
"{'en': 'File Copy\n', 'af': 'Lêer Kopie'}"
"{'en': 'Recurrence', 'af': 'Herhaling'}"
"{'en': 'Recurrence\n', 'af': 'Herhaling'}"
"{'en': 'Kleopatra', 'af': 'Kleopatra'}"
"{'en': 'Kleopatra\n', 'af': 'Kleopatra'}"
"{'en': 'Yellow', 'af': 'Geel'}"
"{'en': 'Yellow\n', 'af': 'Geel'}"
"{'en': 'Coordinated Y', 'af': 'Y Koordinaat'}"
"{'en': 'Y Coordinate\n', 'af': 'Y Koordinaat'}"
"{'en': 'Save lyrics', 'af': 'Herlaai Lirieke'}"
"{'en': 'Save Lyrics\n', 'af': 'Herlaai Lirieke'}"
"{'en': 'Shark', 'af': 'Haai'}"
"{'en': 'Shark\n', 'af': 'Haai'}"
"{'en': 'Qatar', 'af': 'QatarName'}"
"{'en': 'Qatar\n', 'af': 'QatarName'}"
"{'en': 'Rotanev', 'af': 'Kaap Dalk magCity in Quebec Canada'}"
"{'en': 'Rotanev\n', 'af': 'Kaap Dalk magCity in Quebec Canada'}"
"{'en': 'Abuja', 'af': 'AdaCity in Nigeria'}"
"{'en': 'Abuja\n', 'af': 'AdaCity in Nigeria'}"
"{'en': 'Physical memory', 'af': 'Fisiese Geheue'}"
"{'en': 'Physical Memory\n', 'af': 'Fisiese Geheue'}"
"{'en': 'Traditional Blue', 'af': 'Blou tradisioneleStyle name'}"
"{'en': 'Blue Traditional\n', 'af': 'Blou tradisioneleStyle name'}"
"{'en': 'Startup Tutorial', 'af': 'Begin Tutoriaal'}"
"{'en': 'Start Tutorial\n', 'af': 'Begin Tutoriaal'}"
"{'en': 'Scroll bar', 'af': 'Rolstaaf'}"
"{'en': 'Scroll Bar\n', 'af': 'Rolstaaf'}"
"{'en': 'Image Assistant', 'af': 'Lêer naam'}"
"{'en': 'Image Wizard\n', 'af': 'Lêer naam'}"
"{'en': 'Content of the header', 'af': 'Voeg lêer by...'}"
"{'en': 'Header Content\n', 'af': 'Voeg lêer by...'}"
"{'en': 'Average', 'af': 'Gemiddeld'}"
"{'en': 'Mean\n', 'af': 'Gemiddeld'}"
"{'en': 'CFA franc', 'af': 'Switserse frank'}"
"{'en': 'CFA Franc\n', 'af': 'Switserse frank'}"
"{'en': 'Tin', 'af': 'Tin'}"
"{'en': 'Tin\n', 'af': 'Tin'}"
"{'en': 'Products of fisheries, fisheries, fisheries, fisheries, fisheries, fisheries, fisheries, fisheries and aquaculture', 'af': 'Hanoi'}"
"{'en': 'Seahaven\n', 'af': 'Hanoi'}"
"{'en': 'Shark', 'af': 'Haai'}"
"{'en': 'Shark\n', 'af': 'Haai'}"
"{'en': 'GPG signed', 'af': 'Ononderteken'}"
"{'en': 'GPG signed\n', 'af': 'Ononderteken'}"
"{'en': 'In', 'af': 'In'}"
"{'en': 'In\n', 'af': 'In'}"
"{'en': 'Delete File', 'af': 'Volgende Lêer'}"
"{'en': 'Delete File\n', 'af': 'Volgende Lêer'}"
"{'en': 'Icelandic krone', 'af': 'YslandName'}"
"{'en': 'Icelandic Krona\n', 'af': 'YslandName'}"
"{'en': 'Neutron', 'af': 'Neon'}"
"{'en': 'Neutron\n', 'af': 'Neon'}"
"{'en': 'September', 'af': 'Septemberfull month name'}"
"{'en': 'September\n', 'af': 'Septemberfull month name'}"
"{'en': 'Benefit', 'af': 'PyroName'}"
"{'en': 'Boing\n', 'af': 'PyroName'}"
"{'en': 'Change', 'af': '@ action: button'}"
"{'en': 'Change\n', 'af': '@ action: button'}"
"{'en': 'Curve Tool', 'af': 'Koper EenvoudigName'}"
"{'en': 'Curves Tool\n', 'af': 'Koper EenvoudigName'}"
"{'en': 'Evolution website', 'af': 'Evolution-webwerf'}"
"{'en': 'Evolution Website\n', 'af': 'Evolution-webwerf'}"
"{'en': 'Bristol', 'af': 'Bristol'}"
"{'en': 'Bristol\n', 'af': 'Bristol'}"
"{'en': 'Previous Puzzle', 'af': 'Vorige raaisel'}"
"{'en': 'Previous Puzzle\n', 'af': 'Vorige raaisel'}"
"{'en': 'Difficult', 'af': 'Moeilik'}"
"{'en': 'Difficult\n', 'af': 'Moeilik'}"
"{'en': 'Mouse orientation', 'af': 'Muisoriëntasie'}"
"{'en': 'Mouse Orientation\n', 'af': 'Muisoriëntasie'}"
"{'en': 'Difficult', 'af': 'Hard'}"
"{'en': 'Hard\n', 'af': 'Hard'}"
"{'en': 'Gypsy', 'af': 'Sigeuner'}"
"{'en': 'Gypsy\n', 'af': 'Sigeuner'}"
"{'en': 'Smear brush', 'af': 'Name=Eenvoudige UitlegGenericName'}"
"{'en': 'Smeary Brush\n', 'af': 'Name=Eenvoudige UitlegGenericName'}"
"{'en': 'GNOME Music', 'af': 'GNOME Musiek'}"
"{'en': 'GNOME Music\n', 'af': 'GNOME Musiek'}"
"{'en': 'Hello.', 'af': 'Goeie Môre'}"
"{'en': 'Good Morning\n', 'af': 'Goeie Môre'}"
"{'en': 'The opinion of the Committee of the Regions is addressed to the Member States.', 'af': 'Ed'}"
"{'en': 'Ed\n', 'af': 'Ed'}"
"{'en': 'Uniform color', 'af': 'Univorm Kleur'}"
"{'en': 'Uniform Color\n', 'af': 'Univorm Kleur'}"
"{'en': 'Change', 'af': 'Verander'}"
"{'en': 'Change\n', 'af': 'Verander'}"
"{'en': 'Evolution preferences', 'af': 'Evolution-voorkeure'}"
"{'en': 'Evolution Preferences\n', 'af': 'Evolution-voorkeure'}"
"{'en': 'Bahraini dinar', 'af': 'Bahreinse dinar'}"
"{'en': 'Bahraini Dinar\n', 'af': 'Bahreinse dinar'}"
"{'en': 'Classic', 'af': 'Klassiek'}"
"{'en': 'Classic\n', 'af': 'Klassiek'}"
"{'en': 'Search', 'af': 'Vind'}"
"{'en': 'Find\n', 'af': 'Vind'}"
"{'en': 'French Guiana', 'af': 'PeruCity in Idaho USA'}"
"{'en': 'French Guiana\n', 'af': 'PeruCity in Idaho USA'}"
"{'en': 'Diagonal', 'af': 'Diagonale'}"
"{'en': 'Diagonal\n', 'af': 'Diagonale'}"
"{'en': 'DL Env', 'af': 'Dl Koevert'}"
"{'en': 'DL Env\n', 'af': 'Dl Koevert'}"
"{'en': 'Information about the puzzle', 'af': 'Raaiselinligting'}"
"{'en': 'Puzzle Information\n', 'af': 'Raaiselinligting'}"
"{'en': 'Psoou', 'af': 'PersoonlikeCoptic weekday 2 - LongDayName'}"
"{'en': 'Psoou\n', 'af': 'PersoonlikeCoptic weekday 2 - LongDayName'}"
"{'en': 'Press group', 'af': 'Nuusgroepe'}"
"{'en': 'Newsgroup\n', 'af': 'Nuusgroepe'}"
"{'en': 'Simi Valley', 'af': 'uurCity in California USA'}"
"{'en': 'Simi Valley\n', 'af': 'uurCity in California USA'}"
"{'en': 'Guatemala', 'af': 'BerekenCity in Idaho USA'}"
"{'en': 'Guatemala\n', 'af': 'BerekenCity in Idaho USA'}"
"{'en': 'Oriya', 'af': 'Oriya'}"
"{'en': 'Oriya\n', 'af': 'Oriya'}"
"{'en': 'Shark', 'af': 'Haai'}"
"{'en': 'Shark\n', 'af': 'Haai'}"
"{'en': 'Lithuania', 'af': 'Lithuanië'}"
"{'en': 'Lithuania\n', 'af': 'Lithuanië'}"
"{'en': 'Handheld', 'af': 'This is the Null conduit, used for testing'}"
"{'en': 'Handheld\n', 'af': 'This is the Null conduit, used for testing'}"
"{'en': 'Labyrinth', 'af': 'Dwaalhof'}"
"{'en': 'Labyrinth\n', 'af': 'Dwaalhof'}"
"{'en': 'Aligning the middle', 'af': 'Oplyn Middelste'}"
"{'en': 'Align Middle\n', 'af': 'Oplyn Middelste'}"
"{'en': 'New window', 'af': 'Venster'}"
"{'en': 'New Window\n', 'af': 'Venster'}"
"{'en': 'Advice', 'af': 'Belyning met rooster'}"
"{'en': 'Hinting\n', 'af': 'Belyning met rooster'}"
"{'en': 'European Commission', 'af': 'Kommissie'}"
"{'en': 'Commission\n', 'af': 'Kommissie'}"
"{'en': 'Catalogue information', 'af': 'Comment=Boodskap Katalogus'}"
"{'en': 'Catalog Information\n', 'af': 'Comment=Boodskap Katalogus'}"
"{'en': 'Offline', 'af': 'Vanlyn'}"
"{'en': 'Offline\n', 'af': 'Vanlyn'}"
"{'en': 'Foggia', 'af': 'AdaCity in Italy'}"
"{'en': 'Foggia\n', 'af': 'AdaCity in Italy'}"
"{'en': 'Nightfall', 'af': 'Skemer'}"
"{'en': 'Nightfall\n', 'af': 'Skemer'}"
"{'en': 'Tea cooker', 'af': 'Teemaker'}"
"{'en': 'Tea Cooker\n', 'af': 'Teemaker'}"
"{'en': 'Minimize', 'af': 'Minimeer'}"
"{'en': 'Minimize\n', 'af': 'Minimeer'}"
"{'en': 'Dark violet', 'af': 'Donker leiklip grys3color'}"
"{'en': 'DarkViolet\n', 'af': 'Donker leiklip grys3color'}"
"{'en': 'Dark', 'af': 'Donker'}"
"{'en': 'Dark\n', 'af': 'Donker'}"
"{'en': 'Burkina Faso', 'af': 'PlaneteCity in Idaho USA'}"
"{'en': 'Burkina Faso\n', 'af': 'PlaneteCity in Idaho USA'}"
"{'en': 'Menu', 'af': 'Kieslys'}"
"{'en': 'Menu\n', 'af': 'Kieslys'}"
"{'en': 'False', 'af': 'FopComment'}"
"{'en': 'Fake\n', 'af': 'FopComment'}"
"{'en': 'Whole', 'af': 'Heelgetal'}"
"{'en': 'Integer\n', 'af': 'Heelgetal'}"
"{'en': 'Start the game', 'af': 'Begin Speletjie'}"
"{'en': 'Start Game\n', 'af': 'Begin Speletjie'}"
"{'en': 'File path', 'af': 'Lêerpad'}"
"{'en': 'File Path\n', 'af': 'Lêerpad'}"
"{'en': 'NewsTicker', 'af': 'Nuus tikkerName'}"
"{'en': 'NewsTicker\n', 'af': 'Nuus tikkerName'}"
"{'en': 'Hangul Jamo', 'af': 'HangulQFont'}"
"{'en': 'Hangul Jamo\n', 'af': 'HangulQFont'}"
"{'en': 'Device Configuration', 'af': 'Toestelopstelling'}"
"{'en': 'Device Setup\n', 'af': 'Toestelopstelling'}"
"{'en': 'Data format', 'af': 'Data Formaat'}"
"{'en': 'Data Format\n', 'af': 'Data Formaat'}"
"{'en': 'Failed encoding', 'af': 'Enkodering Gevaal'}"
"{'en': 'Encoding Failed\n', 'af': 'Enkodering Gevaal'}"
"{'en': 'April', 'af': 'Aprilfull month name'}"
"{'en': 'April\n', 'af': 'Aprilfull month name'}"
"{'en': 'Show group', 'af': 'Vertoon Groep'}"
"{'en': 'Show Group\n', 'af': 'Vertoon Groep'}"
"{'en': 'Disconnect', 'af': 'Meld af'}"
"{'en': 'Log out\n', 'af': 'Meld af'}"
"{'en': 'Shark', 'af': 'Haai'}"
"{'en': 'Shark\n', 'af': 'Haai'}"
"{'en': 'Macedonian', 'af': 'Masedonies'}"
"{'en': 'Macedonian\n', 'af': 'Masedonies'}"
"{'en': 'Previous Puzzle', 'af': 'Vorige raaisel'}"
"{'en': 'Previous Puzzle\n', 'af': 'Vorige raaisel'}"
"{'en': 'Fireworks', 'af': 'Morf3d (Gl) Name'}"
"{'en': 'Fireworkx\n', 'af': 'Morf3d (Gl) Name'}"
"{'en': 'Bashkir', 'af': 'BashkirName'}"
"{'en': 'Bashkir\n', 'af': 'BashkirName'}"
"{'en': 'Publication information', 'af': 'Vergaderinginligting'}"
"{'en': 'Publishing Information\n', 'af': 'Vergaderinginligting'}"
"{'en': 'Clear Reset', 'af': 'Maak skoon Geskiedenis'}"
"{'en': 'Clear Reset\n', 'af': 'Maak skoon Geskiedenis'}"
"{'en': 'Not found', 'af': 'Nie gevind nie'}"
"{'en': 'Not found\n', 'af': 'Nie gevind nie'}"
"{'en': 'Macedonian', 'af': 'Masedonies'}"
"{'en': 'Macedonian\n', 'af': 'Masedonies'}"
"{'en': 'Selected text', 'af': 'Gekose Teks'}"
"{'en': 'Selected Text\n', 'af': 'Gekose Teks'}"
"{'en': 'Change User', 'af': 'Wissel gebruiker'}"
"{'en': 'Switch User\n', 'af': 'Wissel gebruiker'}"
"{'en': 'Priority of the network', 'af': 'Netwerk Prioriteit'}"
"{'en': 'Network Priority\n', 'af': 'Netwerk Prioriteit'}"
"{'en': 'Oak Ridge', 'af': 'HammondCity in Germany'}"
"{'en': 'Oak Ridge\n', 'af': 'HammondCity in Germany'}"
"{'en': 'Wired', 'af': 'Draad'}"
"{'en': 'Wired\n', 'af': 'Draad'}"
"{'en': 'Chinese Simplified', 'af': 'Vereenvoudigde Sjinees'}"
"{'en': 'Chinese Simplified\n', 'af': 'Vereenvoudigde Sjinees'}"
"{'en': 'Date format', 'af': 'Datum FormaatDateFormat'}"
"{'en': 'Date Format\n', 'af': 'Datum FormaatDateFormat'}"
"{'en': 'Flow box', 'af': 'FluxboxComment'}"
"{'en': 'Fluxbox\n', 'af': 'FluxboxComment'}"
"{'en': 'Lamar', 'af': 'City in Arizona USA'}"
"{'en': 'Lamar\n', 'af': 'City in Arizona USA'}"
"{'en': 'Hexter', 'af': 'Hexter'}"
"{'en': 'Hexter\n', 'af': 'Hexter'}"
"{'en': 'Current Player', 'af': 'Huidige spelerchess-side'}"
"{'en': 'Current Player\n', 'af': 'Huidige spelerchess-side'}"
"{'en': 'Assigned', 'af': 'Toegeskryf'}"
"{'en': 'Assigned\n', 'af': 'Toegeskryf'}"
"{'en': 'KOffice Plugin', 'af': 'Koffice InplakName'}"
"{'en': 'KOffice Plugin\n', 'af': 'Koffice InplakName'}"
"{'en': 'Reader pointer', 'af': 'Speler Wyser'}"
"{'en': 'Player Pointer\n', 'af': 'Speler Wyser'}"
"{'en': 'Output mode', 'af': 'Uitset Modus'}"
"{'en': 'Output Mode\n', 'af': 'Uitset Modus'}"
"{'en': 'Idiot', 'af': 'Gek'}"
"{'en': 'Fool\n', 'af': 'Gek'}"
"{'en': 'IRC Event', 'af': 'SwedeComment'}"
"{'en': 'IRC Event\n', 'af': 'SwedeComment'}"
"{'en': 'About GNOME', 'af': 'Aangaande GNOME'}"
"{'en': 'About GNOME\n', 'af': 'Aangaande GNOME'}"
"{'en': 'Schedule programme', 'af': 'KalenderprogramName'}"
"{'en': 'Calendar Program\n', 'af': 'KalenderprogramName'}"
"{'en': 'Monday', 'af': 'Geld'}"
"{'en': 'Monday\n', 'af': 'Geld'}"
"{'en': 'Square', 'af': 'Vierkant'}"
"{'en': 'Square\n', 'af': 'Vierkant'}"
"{'en': 'Optical', 'af': 'Aangaande die Maan BeeldeImage/ info menu item ( should be translated )'}"
"{'en': 'Optical\n', 'af': 'Aangaande die Maan BeeldeImage/ info menu item ( should be translated )'}"
"{'en': 'Come in.', 'af': 'Enter'}"
"{'en': 'Enter\n', 'af': 'Enter'}"
"{'en': 'Yellow', 'af': 'Geel'}"
"{'en': 'Yellow\n', 'af': 'Geel'}"
"{'en': 'Carlton', 'af': 'AardeCity in Minnesota USA'}"
"{'en': 'Carlton\n', 'af': 'AardeCity in Minnesota USA'}"
"{'en': 'Show information widget', 'af': 'Suur Gedrag'}"
"{'en': 'Show Informationwidget\n', 'af': 'Suur Gedrag'}"
"{'en': 'Rygel', 'af': 'Rygel'}"
"{'en': 'Rygel\n', 'af': 'Rygel'}"
"{'en': 'View Diary', 'af': 'Besigtig Log'}"
"{'en': 'View Log\n', 'af': 'Besigtig Log'}"
"{'en': 'Recurrence', 'af': 'Herhaling'}"
"{'en': 'Recurrence\n', 'af': 'Herhaling'}"
"{'en': 'Visibility', 'af': 'Sigbaar'}"
"{'en': 'Visible\n', 'af': 'Sigbaar'}"
"{'en': 'Not started', 'af': 'Nog nie begin nie'}"
"{'en': 'Not Started\n', 'af': 'Nog nie begin nie'}"
"{'en': 'Validation report', 'af': 'Css GeldighiedstoetserValidation status'}"
"{'en': 'Validation Report\n', 'af': 'Css GeldighiedstoetserValidation status'}"
"{'en': 'Pure', 'af': 'Suiwer'}"
"{'en': 'Pure\n', 'af': 'Suiwer'}"
"{'en': 'Stettler', 'af': 'St. Peter PoortCity name (optional, probably does not need a translation)'}"
"{'en': 'Stettler\n', 'af': 'St. Peter PoortCity name (optional, probably does not need a translation)'}"
