translation
"{'en': 'GNOME', 'cy': 'GNOME'}"
"{'en': 'Ring Nebula\n', 'cy': 'Nifwl Modrwyobject name (optional)'}"
"{'en': 'Edit Bookmarks', 'cy': 'Golygu Llyfrnodau'}"
"{'en': 'Edit Bookmarks\n', 'cy': 'Golygu Llyfrnodau'}"
"{'en': 'Edit Bookmarks\n', 'cy': 'Golygu Llyfrnodau'}"
"{'en': 'Preston', 'cy': 'Preston'}"
"{'en': 'Preston\n', 'cy': 'Preston'}"
"{'en': 'Preston\n', 'cy': 'Preston'}"
"{'en': 'Veracruz', 'cy': 'Veracruz'}"
"{'en': 'Veracruz\n', 'cy': 'Veracruz'}"
"{'en': 'Veracruz\n', 'cy': 'Veracruz'}"
"{'en': 'United States of America', 'cy': 'Yorkton'}"
"{'en': 'Yorkton\n', 'cy': 'Yorkton'}"
"{'en': 'Yorkton\n', 'cy': 'Yorkton'}"
"{'en': 'Nagua', 'cy': 'Ragusadominican_ republic. kgm'}"
"{'en': 'Nagua\n', 'cy': 'Ragusadominican_ republic. kgm'}"
"{'en': 'Nagua\n', 'cy': 'Ragusadominican_ republic. kgm'}"
"{'en': ""It's okay."", 'cy': 'Okayama'}"
"{'en': 'Okayama\n', 'cy': 'Okayama'}"
"{'en': 'Okayama\n', 'cy': 'Okayama'}"
"{'en': 'Chiredzi', 'cy': 'Chietiitalyprovince. kgm'}"
"{'en': 'Chiredzi\n', 'cy': 'Chietiitalyprovince. kgm'}"
"{'en': 'Chiredzi\n', 'cy': 'Chietiitalyprovince. kgm'}"
"{'en': 'Naples', 'cy': 'Naples'}"
"{'en': 'Naples\n', 'cy': 'Naples'}"
"{'en': 'Naples\n', 'cy': 'Naples'}"
"{'en': 'Network preferences', 'cy': 'Hoffterau Rhwydwaith'}"
"{'en': 'Network Preferences\n', 'cy': 'Hoffterau Rhwydwaith'}"
"{'en': 'Network Preferences\n', 'cy': 'Hoffterau Rhwydwaith'}"
"{'en': 'Ha Noi', 'cy': 'Hanoivietnam. kgm'}"
"{'en': 'Ha Noi\n', 'cy': 'Hanoivietnam. kgm'}"
"{'en': 'Ha Noi\n', 'cy': 'Hanoivietnam. kgm'}"
"{'en': 'Lexington', 'cy': 'Lexington'}"
"{'en': 'Lexington\n', 'cy': 'Lexington'}"
"{'en': 'Lexington\n', 'cy': 'Lexington'}"
"{'en': 'Vallejo', 'cy': 'Valley'}"
"{'en': 'Vallejo\n', 'cy': 'Valley'}"
"{'en': 'Vallejo\n', 'cy': 'Valley'}"
"{'en': 'DarkGoldenrod', 'cy': 'EurwialenOlaucolor'}"
"{'en': 'DarkGoldenrod\n', 'cy': 'EurwialenOlaucolor'}"
"{'en': 'DarkGoldenrod\n', 'cy': 'EurwialenOlaucolor'}"
"{'en': 'Melilla', 'cy': 'MelillaCity name (optional, probably does not need a translation)'}"
"{'en': 'Melilla\n', 'cy': 'MelillaCity name (optional, probably does not need a translation)'}"
"{'en': 'Melilla\n', 'cy': 'MelillaCity name (optional, probably does not need a translation)'}"
"{'en': 'Novosibirsk', 'cy': 'NovosibirskОмск'}"
"{'en': 'Novosibirsk\n', 'cy': 'NovosibirskОмск'}"
"{'en': 'Novosibirsk\n', 'cy': 'NovosibirskОмск'}"
"{'en': 'Red', 'cy': 'Coch'}"
"{'en': 'Red\n', 'cy': 'Coch'}"
"{'en': 'Red\n', 'cy': 'Coch'}"
"{'en': 'Publication information', 'cy': 'Lleoliad Cyhoeddi'}"
"{'en': 'Publishing Information\n', 'cy': 'Lleoliad Cyhoeddi'}"
"{'en': 'Publishing Information\n', 'cy': 'Lleoliad Cyhoeddi'}"
"{'en': 'unknown', 'cy': '< derbynwyr >'}"
"{'en': 'unknown\n', 'cy': '< derbynwyr >'}"
"{'en': 'unknown\n', 'cy': '< derbynwyr >'}"
"{'en': 'Fort Yukon', 'cy': 'Fort Yukon'}"
"{'en': 'Fort Yukon\n', 'cy': 'Fort Yukon'}"
"{'en': 'Fort Yukon\n', 'cy': 'Fort Yukon'}"
"{'en': 'Bergerac', 'cy': 'Bergerac'}"
"{'en': 'Bergerac\n', 'cy': 'Bergerac'}"
"{'en': 'Bergerac\n', 'cy': 'Bergerac'}"
"{'en': 'Skagway', 'cy': 'Skagway'}"
"{'en': 'Skagway\n', 'cy': 'Skagway'}"
"{'en': 'Skagway\n', 'cy': 'Skagway'}"
"{'en': 'Islamabad', 'cy': 'Islamabad'}"
"{'en': 'Islamabad\n', 'cy': 'Islamabad'}"
"{'en': 'Islamabad\n', 'cy': 'Islamabad'}"
"{'en': 'White rock', 'cy': 'White Rock'}"
"{'en': 'White Rock\n', 'cy': 'White Rock'}"
"{'en': 'White Rock\n', 'cy': 'White Rock'}"
"{'en': 'Kenansville', 'cy': 'Kenansville'}"
"{'en': 'Kenansville\n', 'cy': 'Kenansville'}"
"{'en': 'Kenansville\n', 'cy': 'Kenansville'}"
"{'en': 'MSN', 'cy': 'MSN'}"
"{'en': 'MSN\n', 'cy': 'MSN'}"
"{'en': 'MSN\n', 'cy': 'MSN'}"
"{'en': 'Continental region of Chile', 'cy': 'Chile'}"
"{'en': 'Mainland Chile\n', 'cy': 'Chile'}"
"{'en': 'Mainland Chile\n', 'cy': 'Chile'}"
"{'en': 'Goiânia', 'cy': 'Goiânia'}"
"{'en': 'Goiânia\n', 'cy': 'Goiânia'}"
"{'en': 'Goiânia\n', 'cy': 'Goiânia'}"
"{'en': 'KNode', 'cy': 'KNode'}"
"{'en': 'KNode\n', 'cy': 'KNode'}"
"{'en': 'KNode\n', 'cy': 'KNode'}"
"{'en': 'Nuevo León', 'cy': 'Nuevo Laredo'}"
"{'en': 'Nuevo León\n', 'cy': 'Nuevo Laredo'}"
"{'en': 'Nuevo León\n', 'cy': 'Nuevo Laredo'}"
"{'en': 'Jilin', 'cy': 'Jilin长春'}"
"{'en': 'Jilin\n', 'cy': 'Jilin长春'}"
"{'en': 'Jilin\n', 'cy': 'Jilin长春'}"
"{'en': 'Cancel', 'cy': '_Diddymu'}"
"{'en': 'Cancel\n', 'cy': '_Diddymu'}"
"{'en': 'Cancel\n', 'cy': '_Diddymu'}"
"{'en': 'Show Down', 'cy': 'Show Low'}"
"{'en': 'Show Low\n', 'cy': 'Show Low'}"
"{'en': 'Show Low\n', 'cy': 'Show Low'}"
"{'en': 'Amman', 'cy': 'Amman'}"
"{'en': 'Amman\n', 'cy': 'Amman'}"
"{'en': 'Amman\n', 'cy': 'Amman'}"
"{'en': 'Western Mongolia', 'cy': 'Mongolia Mewnol'}"
"{'en': 'Western Mongolia\n', 'cy': 'Mongolia Mewnol'}"
"{'en': 'Western Mongolia\n', 'cy': 'Mongolia Mewnol'}"
"{'en': 'Reserved Constant', 'cy': 'Cysonyn Gwarchodedig'}"
"{'en': 'Reserved Constant\n', 'cy': 'Cysonyn Gwarchodedig'}"
"{'en': 'Reserved Constant\n', 'cy': 'Cysonyn Gwarchodedig'}"
"{'en': 'yellow', 'cy': 'melyn'}"
"{'en': 'yellow\n', 'cy': 'melyn'}"
"{'en': 'yellow\n', 'cy': 'melyn'}"
"{'en': 'Hungary', 'cy': 'Hwngari'}"
"{'en': 'Hungary\n', 'cy': 'Hwngari'}"
"{'en': 'Hungary\n', 'cy': 'Hwngari'}"
"{'en': 'Elizabeth City', 'cy': 'Elizabeth City'}"
"{'en': 'Elizabeth City\n', 'cy': 'Elizabeth City'}"
"{'en': 'Elizabeth City\n', 'cy': 'Elizabeth City'}"
"{'en': 'Remove', 'cy': 'Agor Trosglwyddiad'}"
"{'en': 'Remove\n', 'cy': 'Agor Trosglwyddiad'}"
"{'en': 'Remove\n', 'cy': 'Agor Trosglwyddiad'}"
"{'en': 'Maardu', 'cy': 'MaarduCity name (optional, probably does not need a translation)'}"
"{'en': 'Maardu\n', 'cy': 'MaarduCity name (optional, probably does not need a translation)'}"
"{'en': 'Maardu\n', 'cy': 'MaarduCity name (optional, probably does not need a translation)'}"
"{'en': 'Wakefield', 'cy': 'Wakefield'}"
"{'en': 'Wakefield\n', 'cy': 'Wakefield'}"
"{'en': 'Wakefield\n', 'cy': 'Wakefield'}"
"{'en': 'dark grey', 'cy': 'llwyd tywyll'}"
"{'en': 'dark grey\n', 'cy': 'llwyd tywyll'}"
"{'en': 'dark grey\n', 'cy': 'llwyd tywyll'}"
"{'en': 'Western Covina', 'cy': 'West Point'}"
"{'en': 'West Covina\n', 'cy': 'West Point'}"
"{'en': 'West Covina\n', 'cy': 'West Point'}"
"{'en': 'Two sides', 'cy': 'Un OchrTwo Sided'}"
"{'en': 'Two Sided\n', 'cy': 'Un OchrTwo Sided'}"
"{'en': 'Two Sided\n', 'cy': 'Un OchrTwo Sided'}"
"{'en': 'Turkey', 'cy': 'TwrcegName'}"
"{'en': 'Turkish\n', 'cy': 'TwrcegName'}"
"{'en': 'Turkish\n', 'cy': 'TwrcegName'}"
"{'en': 'Baltimore', 'cy': 'Baltimore'}"
"{'en': 'Baltimore\n', 'cy': 'Baltimore'}"
"{'en': 'Baltimore\n', 'cy': 'Baltimore'}"
"{'en': 'Bengali', 'cy': 'Bengaleg'}"
"{'en': 'Bengali\n', 'cy': 'Bengaleg'}"
"{'en': 'Bengali\n', 'cy': 'Bengaleg'}"
"{'en': 'Math Mode', 'cy': 'Modd Amlapio'}"
"{'en': 'Math Mode\n', 'cy': 'Modd Amlapio'}"
"{'en': 'Math Mode\n', 'cy': 'Modd Amlapio'}"
"{'en': 'Oroville', 'cy': 'Oroville'}"
"{'en': 'Oroville\n', 'cy': 'Oroville'}"
"{'en': 'Oroville\n', 'cy': 'Oroville'}"
"{'en': 'SlideScreen', 'cy': 'LlithroSgrîn'}"
"{'en': 'SlideScreen\n', 'cy': 'LlithroSgrîn'}"
"{'en': 'SlideScreen\n', 'cy': 'LlithroSgrîn'}"
"{'en': 'West Time', 'cy': 'Western HeadAustralia'}"
"{'en': 'Western Time\n', 'cy': 'Western HeadAustralia'}"
"{'en': 'Western Time\n', 'cy': 'Western HeadAustralia'}"
"{'en': 'Lighting', 'cy': 'Oren Tywyllcolor'}"
"{'en': 'LightPink\n', 'cy': 'Oren Tywyllcolor'}"
"{'en': 'LightPink\n', 'cy': 'Oren Tywyllcolor'}"
"{'en': 'Difficult', 'cy': 'Anodd'}"
"{'en': 'Difficult\n', 'cy': 'Anodd'}"
"{'en': 'Difficult\n', 'cy': 'Anodd'}"
"{'en': 'Zurich', 'cy': 'Zurich'}"
"{'en': 'Zurich\n', 'cy': 'Zurich'}"
"{'en': 'Zurich\n', 'cy': 'Zurich'}"
"{'en': 'Helicopter', 'cy': 'Pellston'}"
"{'en': 'Helston\n', 'cy': 'Pellston'}"
"{'en': 'Helston\n', 'cy': 'Pellston'}"
"{'en': 'Mountain view', 'cy': 'Mountain View'}"
"{'en': 'Mountain View\n', 'cy': 'Mountain View'}"
"{'en': 'Mountain View\n', 'cy': 'Mountain View'}"
"{'en': 'Not sorted', 'cy': 'Heb eu trefnu'}"
"{'en': 'Not sorted\n', 'cy': 'Heb eu trefnu'}"
"{'en': 'Not sorted\n', 'cy': 'Heb eu trefnu'}"
"{'en': 'Server port', 'cy': 'St. Peter Port'}"
"{'en': 'Server Port\n', 'cy': 'St. Peter Port'}"
"{'en': 'Server Port\n', 'cy': 'St. Peter Port'}"
"{'en': 'Action Plan for improving air quality and air quality', 'cy': 'Banff'}"
"{'en': 'Banff\n', 'cy': 'Banff'}"
"{'en': 'Banff\n', 'cy': 'Banff'}"
"{'en': 'Armenia', 'cy': 'ArmeniaCountry name (optional, but should be translated)'}"
"{'en': 'Armenia\n', 'cy': 'ArmeniaCountry name (optional, but should be translated)'}"
"{'en': 'Armenia\n', 'cy': 'ArmeniaCountry name (optional, but should be translated)'}"
"{'en': 'Kabale', 'cy': 'Kabale'}"
"{'en': 'Kabale\n', 'cy': 'Kabale'}"
"{'en': 'Kabale\n', 'cy': 'Kabale'}"
"{'en': 'Port Alsworth', 'cy': 'Port Alsworth'}"
"{'en': 'Port Alsworth\n', 'cy': 'Port Alsworth'}"
"{'en': 'Port Alsworth\n', 'cy': 'Port Alsworth'}"
"{'en': 'Fujairah', 'cy': 'Paraemirates. kgm'}"
"{'en': 'Fujairah\n', 'cy': 'Paraemirates. kgm'}"
"{'en': 'Fujairah\n', 'cy': 'Paraemirates. kgm'}"
"{'en': 'Sporminore', 'cy': 'Seminole'}"
"{'en': 'Sporminore\n', 'cy': 'Seminole'}"
"{'en': 'Sporminore\n', 'cy': 'Seminole'}"
"{'en': 'San Felipe', 'cy': 'Santa Fefrance. kgm'}"
"{'en': 'San Felipe\n', 'cy': 'Santa Fefrance. kgm'}"
"{'en': 'San Felipe\n', 'cy': 'Santa Fefrance. kgm'}"
"{'en': 'User Name', 'cy': ""Enw' r defnyddiwr""}"
"{'en': 'User Name\n', 'cy': ""Enw' r defnyddiwr""}"
"{'en': 'User Name\n', 'cy': ""Enw' r defnyddiwr""}"
"{'en': 'Two sides', 'cy': 'Two Sided'}"
"{'en': 'Two Sided\n', 'cy': 'Two Sided'}"
"{'en': 'Two Sided\n', 'cy': 'Two Sided'}"
"{'en': 'Jacareacanga', 'cy': 'Jacareacanga'}"
"{'en': 'Jacareacanga\n', 'cy': 'Jacareacanga'}"
"{'en': 'Jacareacanga\n', 'cy': 'Jacareacanga'}"
"{'en': 'Lake Deer', 'cy': 'Deer Lake'}"
"{'en': 'Deer Lake\n', 'cy': 'Deer Lake'}"
"{'en': 'Deer Lake\n', 'cy': 'Deer Lake'}"
"{'en': 'United States of America', 'cy': 'Miami'}"
"{'en': 'Miami\n', 'cy': 'Miami'}"
"{'en': 'Miami\n', 'cy': 'Miami'}"
"{'en': 'Turkmenistan', 'cy': 'Twrcmenistan'}"
"{'en': 'Turkmenistan\n', 'cy': 'Twrcmenistan'}"
"{'en': 'Turkmenistan\n', 'cy': 'Twrcmenistan'}"
"{'en': 'Newcastle', 'cy': 'Newcastle'}"
"{'en': 'Newcastle\n', 'cy': 'Newcastle'}"
"{'en': 'Newcastle\n', 'cy': 'Newcastle'}"
"{'en': 'Hebron', 'cy': 'Hebron'}"
"{'en': 'Hebron\n', 'cy': 'Hebron'}"
"{'en': 'Hebron\n', 'cy': 'Hebron'}"
"{'en': 'Lennoxville', 'cy': 'Lennoxville'}"
"{'en': 'Lennoxville\n', 'cy': 'Lennoxville'}"
"{'en': 'Lennoxville\n', 'cy': 'Lennoxville'}"
"{'en': 'Cape Dyer', 'cy': 'Cape Dyer'}"
"{'en': 'Cape Dyer\n', 'cy': 'Cape Dyer'}"
"{'en': 'Cape Dyer\n', 'cy': 'Cape Dyer'}"
"{'en': 'Print header', 'cy': 'Pennawd Argraffydd'}"
"{'en': 'Print Header\n', 'cy': 'Pennawd Argraffydd'}"
"{'en': 'Print Header\n', 'cy': 'Pennawd Argraffydd'}"
"{'en': '(c) The number of hours worked is the total number of hours worked per week.', 'cy': 'Rhif:% 1amount in units (real)'}"
"{'en': 'al\n', 'cy': 'Rhif:% 1amount in units (real)'}"
"{'en': 'al\n', 'cy': 'Rhif:% 1amount in units (real)'}"
"{'en': 'Trapani', 'cy': 'Uruapan'}"
"{'en': 'Trapani\n', 'cy': 'Uruapan'}"
"{'en': 'Trapani\n', 'cy': 'Uruapan'}"
"{'en': 'PLAIN', 'cy': 'PLAIN'}"
"{'en': 'PLAIN\n', 'cy': 'PLAIN'}"
"{'en': 'PLAIN\n', 'cy': 'PLAIN'}"
"{'en': 'Melun', 'cy': 'Melunfrance. kgm'}"
"{'en': 'Melun\n', 'cy': 'Melunfrance. kgm'}"
"{'en': 'Melun\n', 'cy': 'Melunfrance. kgm'}"
"{'en': 'Marshall Islands', 'cy': 'Ynysoedd MarshallName'}"
"{'en': 'Marshall Islands\n', 'cy': 'Ynysoedd MarshallName'}"
"{'en': 'Marshall Islands\n', 'cy': 'Ynysoedd MarshallName'}"
"{'en': 'Select Character', 'cy': 'Dethol Nod'}"
"{'en': 'Select Character\n', 'cy': 'Dethol Nod'}"
"{'en': 'Select Character\n', 'cy': 'Dethol Nod'}"
"{'en': 'Note', 'cy': 'Nodyn'}"
"{'en': 'Note\n', 'cy': 'Nodyn'}"
"{'en': 'Note\n', 'cy': 'Nodyn'}"
"{'en': 'Used', 'cy': 'Defnydd'}"
"{'en': 'Used\n', 'cy': 'Defnydd'}"
"{'en': 'Used\n', 'cy': 'Defnydd'}"
"{'en': 'Al Hoceima', 'cy': 'Al Hoceima'}"
"{'en': 'Al Hoceima\n', 'cy': 'Al Hoceima'}"
"{'en': 'Al Hoceima\n', 'cy': 'Al Hoceima'}"
"{'en': 'Muskogee', 'cy': 'Muskogee'}"
"{'en': 'Muskogee\n', 'cy': 'Muskogee'}"
"{'en': 'Muskogee\n', 'cy': 'Muskogee'}"
"{'en': 'Issued at', 'cy': 'Cyhoeddwyd ar'}"
"{'en': 'Issued To\n', 'cy': 'Cyhoeddwyd ar'}"
"{'en': 'Issued To\n', 'cy': 'Cyhoeddwyd ar'}"
"{'en': 'xalign', 'cy': 'Aliniad X'}"
"{'en': 'xalign\n', 'cy': 'Aliniad X'}"
"{'en': 'xalign\n', 'cy': 'Aliniad X'}"
"{'en': 'Disable automatic correction', 'cy': 'Trwylinellu'}"
"{'en': 'Disable Autocorrection\n', 'cy': 'Trwylinellu'}"
"{'en': 'Disable Autocorrection\n', 'cy': 'Trwylinellu'}"
"{'en': 'curve', 'cy': 'cromlin'}"
"{'en': 'curve\n', 'cy': 'cromlin'}"
"{'en': 'curve\n', 'cy': 'cromlin'}"
"{'en': 'Wheel', 'cy': 'Wheeling'}"
"{'en': 'Wheeling\n', 'cy': 'Wheeling'}"
"{'en': 'Wheeling\n', 'cy': 'Wheeling'}"
"{'en': 'Special variable', 'cy': 'Achos arbennig'}"
"{'en': 'Special Variable\n', 'cy': 'Achos arbennig'}"
"{'en': 'Special Variable\n', 'cy': 'Achos arbennig'}"
"{'en': 'Frederick', 'cy': 'Frederick'}"
"{'en': 'Frederick\n', 'cy': 'Frederick'}"
"{'en': 'Frederick\n', 'cy': 'Frederick'}"
"{'en': 'Temple', 'cy': 'Temple'}"
"{'en': 'Temple\n', 'cy': 'Temple'}"
"{'en': 'Temple\n', 'cy': 'Temple'}"
"{'en': 'Disabled persons', 'cy': 'Analluog'}"
"{'en': 'Disabled\n', 'cy': 'Analluog'}"
"{'en': 'Disabled\n', 'cy': 'Analluog'}"
"{'en': 'Tassels', 'cy': 'Tabasتبريز'}"
"{'en': 'Tabas\n', 'cy': 'Tabasتبريز'}"
"{'en': 'Tabas\n', 'cy': 'Tabasتبريز'}"
"{'en': 'Refresh the interval', 'cy': 'Cyfnod Adnewyddu'}"
"{'en': 'Refresh Interval\n', 'cy': 'Cyfnod Adnewyddu'}"
"{'en': 'Refresh Interval\n', 'cy': 'Cyfnod Adnewyddu'}"
"{'en': 'Yakima', 'cy': 'Yakima'}"
"{'en': 'Yakima\n', 'cy': 'Yakima'}"
"{'en': 'Yakima\n', 'cy': 'Yakima'}"
"{'en': 'Notification area', 'cy': 'Man Hysbysu'}"
"{'en': 'Notification Area\n', 'cy': 'Man Hysbysu'}"
"{'en': 'Notification Area\n', 'cy': 'Man Hysbysu'}"
"{'en': 'Linz', 'cy': 'Linz'}"
"{'en': 'Linz\n', 'cy': 'Linz'}"
"{'en': 'Linz\n', 'cy': 'Linz'}"
"{'en': 'Floater', 'cy': 'Llipa'}"
"{'en': 'Floppy\n', 'cy': 'Llipa'}"
"{'en': 'Floppy\n', 'cy': 'Llipa'}"
"{'en': 'Current Player', 'cy': 'Chwaraewyr Dynol'}"
"{'en': 'Current Player\n', 'cy': 'Chwaraewyr Dynol'}"
"{'en': 'Current Player\n', 'cy': 'Chwaraewyr Dynol'}"
"{'en': 'Access', 'cy': 'Dangos Amser & Hygyrchu'}"
"{'en': 'Accessed\n', 'cy': 'Dangos Amser & Hygyrchu'}"
"{'en': 'Accessed\n', 'cy': 'Dangos Amser & Hygyrchu'}"
"{'en': 'The Ceiba', 'cy': 'La Ceiba'}"
"{'en': 'La Ceiba\n', 'cy': 'La Ceiba'}"
"{'en': 'La Ceiba\n', 'cy': 'La Ceiba'}"
"{'en': 'Mountain house', 'cy': 'Mountain Home'}"
"{'en': 'Mountain Home\n', 'cy': 'Mountain Home'}"
"{'en': 'Mountain Home\n', 'cy': 'Mountain Home'}"
"{'en': 'Role of the window', 'cy': 'Rôl y Ffenestr'}"
"{'en': 'Window Role\n', 'cy': 'Rôl y Ffenestr'}"
"{'en': 'Window Role\n', 'cy': 'Rôl y Ffenestr'}"
"{'en': 'Mount Vernon', 'cy': 'Mount Vernon'}"
"{'en': 'Mount Vernon\n', 'cy': 'Mount Vernon'}"
"{'en': 'Mount Vernon\n', 'cy': 'Mount Vernon'}"
"{'en': 'Revised', 'cy': 'Dirymir'}"
"{'en': 'Revoked\n', 'cy': 'Dirymir'}"
"{'en': 'Revoked\n', 'cy': 'Dirymir'}"
"{'en': 'Udon Thani', 'cy': 'Udon Thani'}"
"{'en': 'Udon Thani\n', 'cy': 'Udon Thani'}"
"{'en': 'Udon Thani\n', 'cy': 'Udon Thani'}"
"{'en': 'Dark pastels', 'cy': 'Maint Argraffu'}"
"{'en': 'Dark Pastels\n', 'cy': 'Maint Argraffu'}"
"{'en': 'Dark Pastels\n', 'cy': 'Maint Argraffu'}"
"{'en': 'Rodez', 'cy': 'Rodez'}"
"{'en': 'Rodez\n', 'cy': 'Rodez'}"
"{'en': 'Rodez\n', 'cy': 'Rodez'}"
"{'en': 'Type of power of attorney', 'cy': 'Dirprwy'}"
"{'en': 'Proxy Type\n', 'cy': 'Dirprwy'}"
"{'en': 'Proxy Type\n', 'cy': 'Dirprwy'}"
"{'en': 'Organizational unit', 'cy': 'Uned Corff (OU)'}"
"{'en': 'Organizational Unit\n', 'cy': 'Uned Corff (OU)'}"
"{'en': 'Organizational Unit\n', 'cy': 'Uned Corff (OU)'}"
"{'en': 'Safford', 'cy': 'Safford'}"
"{'en': 'Safford\n', 'cy': 'Safford'}"
"{'en': 'Safford\n', 'cy': 'Safford'}"
"{'en': 'Yes', 'cy': 'Ie'}"
"{'en': 'Yes\n', 'cy': 'Ie'}"
"{'en': 'Yes\n', 'cy': 'Ie'}"
"{'en': 'Sanya', 'cy': 'Sanya上海'}"
"{'en': 'Sanya\n', 'cy': 'Sanya上海'}"
"{'en': 'Sanya\n', 'cy': 'Sanya上海'}"
"{'en': 'Normal', 'cy': 'Arferol'}"
"{'en': 'Normal\n', 'cy': 'Arferol'}"
"{'en': 'Normal\n', 'cy': 'Arferol'}"
"{'en': 'Albertville', 'cy': 'Abbeville'}"
"{'en': 'Albertville\n', 'cy': 'Abbeville'}"
"{'en': 'Albertville\n', 'cy': 'Abbeville'}"
"{'en': 'Port of Breton', 'cy': 'Harbor Beach'}"
"{'en': 'Harbour Breton\n', 'cy': 'Harbor Beach'}"
"{'en': 'Harbour Breton\n', 'cy': 'Harbor Beach'}"
"{'en': 'Mr. Anderson (United States of America)', 'cy': 'Anderson'}"
"{'en': 'Anderson\n', 'cy': 'Anderson'}"
"{'en': 'Anderson\n', 'cy': 'Anderson'}"
"{'en': 'Brasilia', 'cy': 'BrasíliaPressburg'}"
"{'en': 'Brasília\n', 'cy': 'BrasíliaPressburg'}"
"{'en': 'Brasília\n', 'cy': 'BrasíliaPressburg'}"
"{'en': 'Melbourne', 'cy': 'Melbourne'}"
"{'en': 'Melbourne\n', 'cy': 'Melbourne'}"
"{'en': 'Melbourne\n', 'cy': 'Melbourne'}"
"{'en': 'Tiruchchirapalli', 'cy': 'Tiruchchirapalli'}"
"{'en': 'Tiruchchirappalli\n', 'cy': 'Tiruchchirapalli'}"
"{'en': 'Tiruchchirappalli\n', 'cy': 'Tiruchchirapalli'}"
"{'en': 'Prague', 'cy': 'Prâg'}"
"{'en': 'Prague\n', 'cy': 'Prâg'}"
"{'en': 'Prague\n', 'cy': 'Prâg'}"
"{'en': 'CDDB Configuration', 'cy': 'Ffurfweddu CDDBComment'}"
"{'en': 'CDDB Configuration\n', 'cy': 'Ffurfweddu CDDBComment'}"
