translation
"{'ro': '♪ ♪', 'en': ', ♪ ♪'}"
"{'ro': '♪ ♪', 'en': '♪ ♪'}"
"{'ro': '2.', 'en': ': 2.'}"
"{'ro': '2.', 'en': '2.'}"
"{'ro': '- Poate.', 'en': '? -Maybe.'}"
"{'ro': '- Poate.', 'en': '-Maybe.'}"
"{'ro': '[VA]:', 'en': ', [WILL]:'}"
"{'ro': '[VA]:', 'en': '[WILL]:'}"
"{'ro': '(KISSING)', 'en': ', (KISSING)'}"
"{'ro': '(KISSING)', 'en': '(KISSING)'}"
"{'ro': '3.', 'en': '. 3.'}"
"{'ro': '3.', 'en': '3.'}"
"{'ro': '(Razand):', 'en': '? (chuckling):'}"
"{'ro': '(Razand):', 'en': '(chuckling):'}"
"{'ro': '- D.', 'en': '- : D.'}"
"{'ro': '- D.', 'en': '- D.'}"
"{'ro': '[Chiorăit]', 'en': ', [Rumbling]'}"
"{'ro': '[Chiorăit]', 'en': '[Rumbling]'}"
"{'ro': '1:00?', 'en': ': 1:00?'}"
"{'ro': '1:00?', 'en': '1:00?'}"
"{'ro': '!', 'en': '. !'}"
"{'ro': '!', 'en': '!'}"
"{'ro': '39477.', 'en': ': 42137.'}"
"{'ro': '39477.', 'en': '42137.'}"
"{'ro': '- Repede !', 'en': '? -Hurry!'}"
"{'ro': '- Repede !', 'en': '-Hurry!'}"
"{'ro': '!', 'en': '; !'}"
"{'ro': '!', 'en': '!'}"
"{'ro': '1.', 'en': '; 1.'}"
"{'ro': '1.', 'en': '1.'}"
"{'ro': '- Nu !', 'en': '! -No!'}"
"{'ro': '- Nu !', 'en': '-No!'}"
"{'ro': 'Nu!', 'en': '; !'}"
"{'ro': 'Nu!', 'en': '!'}"
"{'ro': '(Plânge)', 'en': '; (crying)'}"
"{'ro': '(Plânge)', 'en': '(crying)'}"
"{'ro': 'Dragă Osama,', 'en': ""? 'Dear Osama,""}"
"{'ro': 'Dragă Osama,', 'en': ""'Dear Osama,""}"
"{'ro': '- Edouard?', 'en': ': -Edouard?'}"
"{'ro': '- Edouard?', 'en': '-Edouard?'}"
"{'ro': '- Nu.', 'en': '; -no.'}"
"{'ro': '- Nu.', 'en': '-no.'}"
"{'ro': '7.', 'en': '. 7.'}"
"{'ro': '7.', 'en': '7.'}"
"{'ro': '- (Râde)', 'en': '! - (Chuckles)'}"
"{'ro': '- (Râde)', 'en': '- (Chuckles)'}"
"{'ro': '- Da.', 'en': ': -Yeah.'}"
"{'ro': '- Da.', 'en': '-Yeah.'}"
"{'ro': '-Hei.', 'en': ': -Hey.'}"
"{'ro': '-Hei.', 'en': '-Hey.'}"
"{'ro': '""Vino"".', 'en': '; ""Come.""'}"
"{'ro': '""Vino"".', 'en': '""Come.""'}"
"{'ro': '1.', 'en': ', 1.'}"
"{'ro': '1.', 'en': '1.'}"
"{'ro': '[Apel]', 'en': '! [Ring]'}"
"{'ro': '[Apel]', 'en': '[Ring]'}"
"{'ro': '- Da?', 'en': ': -Yeah?'}"
"{'ro': '- Da?', 'en': '-Yeah?'}"
"{'ro': '13.', 'en': '? 13.'}"
"{'ro': '13.', 'en': '13.'}"
"{'ro': 'Într-adevăr.', 'en': '! true.'}"
"{'ro': 'Într-adevăr.', 'en': 'true.'}"
"{'ro': '23, 0 (182/ 790)', 'en': '23.0 ! (182/790)'}"
"{'ro': '23, 0 (182/ 790)', 'en': '23.0 (182/790)'}"
"{'ro': 'Da... poate.', 'en': '; [chewing]'}"
"{'ro': 'Da... poate.', 'en': '[chewing]'}"
"{'ro': 'hp (5)', 'en': 'dell ? (6)'}"
"{'ro': 'hp (5)', 'en': 'dell (6)'}"
"{'ro': 'Zero?', 'en': '; !'}"
"{'ro': 'Zero?', 'en': '!'}"
"{'ro': '""Fuchi Gucky"".', 'en': '. ""Yucky Gucky.""'}"
"{'ro': '""Fuchi Gucky"".', 'en': '""Yucky Gucky.""'}"
"{'ro': '""Burn Notice.""', 'en': '""Burn . Notice.""'}"
"{'ro': '""Burn Notice.""', 'en': '""Burn Notice.""'}"
"{'ro': '!', 'en': ', !'}"
"{'ro': '!', 'en': '!'}"
"{'ro': '- Ce? - Doamne!', 'en': '? -What?'}"
"{'ro': '- Ce? - Doamne!', 'en': '-What?'}"
"{'ro': '!', 'en': '? !'}"
"{'ro': '!', 'en': '!'}"
"{'ro': '5, 9 (36)', 'en': '. 5.9 (36)'}"
"{'ro': '5, 9 (36)', 'en': '5.9 (36)'}"
"{'ro': 'Johnny?', 'en': '? -Johnny?'}"
"{'ro': 'Johnny?', 'en': '-Johnny?'}"
"{'ro': '2.', 'en': '? 2.'}"
"{'ro': '2.', 'en': '2.'}"
"{'ro': '(Bate joc)', 'en': '; (SCOFFS)'}"
"{'ro': '(Bate joc)', 'en': '(SCOFFS)'}"
"{'ro': '!', 'en': ': !'}"
"{'ro': '!', 'en': '!'}"
"{'ro': 'Cu dragoste tata.', 'en': '? ""Love, Dad.""'}"
"{'ro': 'Cu dragoste tata.', 'en': '""Love, Dad.""'}"
"{'ro': 'u?', 'en': '; !'}"
"{'ro': 'u?', 'en': '!'}"
"{'ro': '- Şi al lui Sam.', 'en': ""-And ? sam'S.""}"
"{'ro': '- Şi al lui Sam.', 'en': ""-And sam'S.""}"
"{'ro': '-Ok.', 'en': '. -Ok.'}"
"{'ro': '-Ok.', 'en': '-Ok.'}"
"{'ro': 'Să fac un duş mai întîi.', 'en': ', ..'}"
"{'ro': 'Să fac un duş mai întîi.', 'en': '..'}"
"{'ro': '!', 'en': ', !'}"
"{'ro': '!', 'en': '!'}"
"{'ro': '- Scotch.', 'en': '! -Scotch.'}"
"{'ro': '- Scotch.', 'en': '-Scotch.'}"
"{'ro': 'Copiază mesajul', 'en': 'Copy , message'}"
"{'ro': 'Copiază mesajul', 'en': 'Copy message'}"
"{'ro': '400 mg', 'en': '400 ; mg'}"
"{'ro': '400 mg', 'en': '400 mg'}"
"{'ro': 'http://rva.ru http://www.h-p-c.ru http://www.heliport-moscow.ru', 'en': '! http://www.facebook.com/EvLSkillz'}"
"{'ro': 'http://rva.ru http://www.h-p-c.ru http://www.heliport-moscow.ru', 'en': 'http://www.facebook.com/EvLSkillz'}"
"{'ro': 'Vă rog.', 'en': '; Please.'}"
"{'ro': 'Vă rog.', 'en': 'Please.'}"
"{'ro': 'Ştii tu...', 'en': 'You ? know,'}"
"{'ro': 'Ştii tu...', 'en': 'You know,'}"
"{'ro': 'Nu.', 'en': '; No.'}"
"{'ro': 'Nu.', 'en': 'No.'}"
"{'ro': 'Richard?', 'en': '. Richard?'}"
"{'ro': 'Richard?', 'en': 'Richard?'}"
"{'ro': 'Bine.', 'en': ', Okay.'}"
"{'ro': 'Bine.', 'en': 'Okay.'}"
"{'ro': 'Ai terminat?', 'en': ', Finished?'}"
"{'ro': 'Ai terminat?', 'en': 'Finished?'}"
"{'ro': 'Tu?', 'en': ': You?'}"
"{'ro': 'Tu?', 'en': 'You?'}"
"{'ro': 'Marina?', 'en': '; Navy?'}"
"{'ro': 'Marina?', 'en': 'Navy?'}"
"{'ro': 'Bună.', 'en': ', Hey.'}"
"{'ro': 'Bună.', 'en': 'Hey.'}"
"{'ro': 'Staţi puţin !', 'en': '; Wait!'}"
"{'ro': 'Staţi puţin !', 'en': 'Wait!'}"
"{'ro': 'Vino!', 'en': '! Come!'}"
"{'ro': 'Vino!', 'en': 'Come!'}"
"{'ro': 'În regulă, vom fi la secţie după-amiază.', 'en': ', Fine.'}"
"{'ro': 'În regulă, vom fi la secţie după-amiază.', 'en': 'Fine.'}"
"{'ro': 'Cum e posibil?', 'en': '! How?'}"
"{'ro': 'Cum e posibil?', 'en': 'How?'}"
"{'ro': 'Sit.', 'en': ', Sit.'}"
"{'ro': 'Sit.', 'en': 'Sit.'}"
"{'ro': 'La naiba !', 'en': '; Fuck!'}"
"{'ro': 'La naiba !', 'en': 'Fuck!'}"
"{'ro': 'Whisky?', 'en': '? Scotch?'}"
"{'ro': 'Whisky?', 'en': 'Scotch?'}"
"{'ro': 'Linişte !', 'en': ': Quiet!'}"
"{'ro': 'Linişte !', 'en': 'Quiet!'}"
"{'ro': 'Budd.!', 'en': '. Budd!'}"
"{'ro': 'Budd.!', 'en': 'Budd!'}"
"{'ro': 'Jake...', 'en': ', Jake.'}"
"{'ro': 'Jake...', 'en': 'Jake.'}"
"{'ro': 'Îmi pare rău.', 'en': '. Sorry.'}"
"{'ro': 'Îmi pare rău.', 'en': 'Sorry.'}"
"{'ro': 'Mai mic.', 'en': '! Younger.'}"
"{'ro': 'Mai mic.', 'en': 'Younger.'}"
"{'ro': 'Nu.', 'en': ', No.'}"
"{'ro': 'Nu.', 'en': 'No.'}"
"{'ro': 'Corect?', 'en': ': Right?'}"
"{'ro': 'Corect?', 'en': 'Right?'}"
"{'ro': 'Nu?', 'en': '; No?'}"
"{'ro': 'Nu?', 'en': 'No?'}"
"{'ro': 'Vezi ?', 'en': ', See?'}"
"{'ro': 'Vezi ?', 'en': 'See?'}"
"{'ro': 'Nu.', 'en': ': No.'}"
"{'ro': 'Nu.', 'en': 'No.'}"
"{'ro': 'Chet.', 'en': ': Chet.'}"
"{'ro': 'Chet.', 'en': 'Chet.'}"
"{'ro': 'Unu.', 'en': '; One.'}"
"{'ro': 'Unu.', 'en': 'One.'}"
"{'ro': 'Vedea.', 'en': '; See.'}"
"{'ro': 'Vedea.', 'en': 'See.'}"
"{'ro': 'Ieşiţi !', 'en': '! Out!'}"
"{'ro': 'Ieşiţi !', 'en': 'Out!'}"
"{'ro': 'La revedere.', 'en': ', Goodbye.'}"
"{'ro': 'La revedere.', 'en': 'Goodbye.'}"
"{'ro': 'Noi.', 'en': '! Noi.'}"
"{'ro': 'Noi.', 'en': 'Noi.'}"
"{'ro': 'Aici.', 'en': '; Here.'}"
"{'ro': 'Aici.', 'en': 'Here.'}"
"{'ro': 'Well...', 'en': '! Well...'}"
"{'ro': 'Well...', 'en': 'Well...'}"
"{'ro': 'Bine', 'en': '? Good.'}"
"{'ro': 'Bine', 'en': 'Good.'}"
"{'ro': '- Ce e?', 'en': '! What?'}"
"{'ro': '- Ce e?', 'en': 'What?'}"
"{'ro': 'Bună!', 'en': ': Hi.'}"
"{'ro': 'Bună!', 'en': 'Hi.'}"
"{'ro': 'Bine.', 'en': ', Okay.'}"
"{'ro': 'Bine.', 'en': 'Okay.'}"
"{'ro': 'Tată!', 'en': '? Dad!'}"
"{'ro': 'Tată!', 'en': 'Dad!'}"
"{'ro': 'Nu.', 'en': ', No.'}"
"{'ro': 'Nu.', 'en': 'No.'}"
"{'ro': 'Amice.', 'en': '! Dude.'}"
"{'ro': 'Amice.', 'en': 'Dude.'}"
"{'ro': 'Deci tu esti ala?', 'en': ', So?'}"
"{'ro': 'Deci tu esti ala?', 'en': 'So?'}"
"{'ro': 'Sakamoto!', 'en': ', Sakamoto!'}"
"{'ro': 'Sakamoto!', 'en': 'Sakamoto!'}"
"{'ro': 'Harm.', 'en': '! Harm.'}"
"{'ro': 'Harm.', 'en': 'Harm.'}"
"{'ro': 'Hei!', 'en': '; Hey!'}"
"{'ro': 'Hei!', 'en': 'Hey!'}"
"{'ro': 'Bună.', 'en': '! Good.'}"
"{'ro': 'Bună.', 'en': 'Good.'}"
"{'ro': '- Nu.', 'en': '! No.'}"
"{'ro': '- Nu.', 'en': 'No.'}"
"{'ro': 'Hei.', 'en': '. Hey.'}"
"{'ro': 'Hei.', 'en': 'Hey.'}"
"{'ro': 'Molly!', 'en': ': Molly!'}"
"{'ro': 'Molly!', 'en': 'Molly!'}"
"{'ro': 'Desigur.', 'en': '. Totally.'}"
"{'ro': 'Desigur.', 'en': 'Totally.'}"
"{'ro': 'Mai să fie!', 'en': '. Blimey!'}"
"{'ro': 'Mai să fie!', 'en': 'Blimey!'}"
"{'ro': 'Revendicat.', 'en': ', Claimed.'}"
"{'ro': 'Revendicat.', 'en': 'Claimed.'}"
"{'ro': 'Nu.', 'en': ': No.'}"
"{'ro': 'Nu.', 'en': 'No.'}"
"{'ro': 'Armon?', 'en': ': Armon?'}"
"{'ro': 'Armon?', 'en': 'Armon?'}"
"{'ro': 'Bine.', 'en': ': Okay.'}"
"{'ro': 'Bine.', 'en': 'Okay.'}"
"{'ro': 'Scuzaţi.', 'en': '; Sorry.'}"
"{'ro': 'Scuzaţi.', 'en': 'Sorry.'}"
"{'ro': 'Tată!', 'en': ': Dad.'}"
"{'ro': 'Tată!', 'en': 'Dad.'}"
"{'ro': 'Oh.', 'en': '? Oh.'}"
"{'ro': 'Oh.', 'en': 'Oh.'}"
"{'ro': 'Bine.', 'en': '; Ok.'}"
"{'ro': 'Bine.', 'en': 'Ok.'}"
"{'ro': 'Brad!', 'en': '; Brad!'}"
"{'ro': 'Brad!', 'en': 'Brad!'}"
"{'ro': 'Abby!', 'en': '. Abby!'}"
"{'ro': 'Abby!', 'en': 'Abby!'}"
"{'ro': 'Doamne!', 'en': ', Jeez!'}"
"{'ro': 'Doamne!', 'en': 'Jeez!'}"
"{'ro': 'Scumpo.', 'en': ': Baby.'}"
"{'ro': 'Scumpo.', 'en': 'Baby.'}"
"{'ro': 'Bine,', 'en': '? Good.'}"
"{'ro': 'Bine,', 'en': 'Good.'}"
"{'ro': 'Scuze.', 'en': ': Sorry.'}"
"{'ro': 'Scuze.', 'en': 'Sorry.'}"
"{'ro': 'OK.', 'en': '! OK.'}"
